# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0030126	CC	e	COPI vesicle coat	7/7	8/6920	5.322261643726618e-23	5	7	5.0295372533216534e-20	COP1, RET2, RET3, SEC21, SEC26, SEC27, SEC28
GO:0030663	CC	e	COPI-coated vesicle membrane	7/7	14/6920	2.283250245158719e-20	7	7	1.0788357408374946e-17	COP1, RET2, RET3, SEC21, SEC26, SEC27, SEC28
GO:0030660	CC	e	Golgi-associated vesicle membrane	7/7	15/6920	4.281094209672598e-20	6	7	1.3485446760468684e-17	COP1, RET2, RET3, SEC21, SEC26, SEC27, SEC28
GO:0030120	CC	e	vesicle coat	7/7	23/6920	1.6309871222388583e-18	4	7	3.8532070762893023e-16	COP1, RET2, RET3, SEC21, SEC26, SEC27, SEC28
GO:0030662	CC	e	coated vesicle membrane	7/7	36/6920	5.553567134762976e-17	6	7	8.746868237251687e-15	COP1, RET2, RET3, SEC21, SEC26, SEC27, SEC28
GO:0030117	CC	e	membrane coat	7/7	36/6920	5.553567134762976e-17	3	7	8.746868237251687e-15	COP1, RET2, RET3, SEC21, SEC26, SEC27, SEC28
GO:0000139	CC	e	Golgi membrane	7/7	146/6920	1.6129859246156357e-12	5	7	2.054494221632976e-10	COP1, RET2, RET3, SEC21, SEC26, SEC27, SEC28
GO:0030659	CC	e	cytoplasmic vesicle membrane	7/7	149/6920	1.8653503091651795e-12	5	7	2.054494221632976e-10	COP1, RET2, RET3, SEC21, SEC26, SEC27, SEC28
GO:0012506	CC	e	vesicle membrane	7/7	150/6920	1.956661163459977e-12	4	7	2.054494221632976e-10	COP1, RET2, RET3, SEC21, SEC26, SEC27, SEC28
GO:0005794	CC	e	Golgi apparatus	7/7	265/6920	1.1183974220466509e-10	5	7	1.0568855638340851e-08	COP1, RET2, RET3, SEC21, SEC26, SEC27, SEC28
GO:0031410	CC	e	cytoplasmic vesicle	7/7	279/6920	1.6101244739249102e-10	6	7	1.2679730232158668e-08	COP1, RET2, RET3, SEC21, SEC26, SEC27, SEC28
GO:0097708	CC	e	intracellular vesicle	7/7	279/6920	1.6101244739249102e-10	5	7	1.2679730232158668e-08	COP1, RET2, RET3, SEC21, SEC26, SEC27, SEC28
GO:0031982	CC	e	vesicle	7/7	284/6920	1.8257568202627044e-10	4	7	1.3271847654986582e-08	COP1, RET2, RET3, SEC21, SEC26, SEC27, SEC28
GO:0098796	CC	e	membrane protein complex	7/7	336/6920	5.992809871327783e-10	2	7	4.045146663146253e-08	COP1, RET2, RET3, SEC21, SEC26, SEC27, SEC28
GO:0098588	CC	e	bounding membrane of organelle	7/7	635/6920	5.315939417921219e-08	4	7	3.3490418332903685e-06	COP1, RET2, RET3, SEC21, SEC26, SEC27, SEC28
GO:0031090	CC	e	organelle membrane	7/7	1298/6920	8.062327779197256e-06	3	7	0.0004761812344588379	COP1, RET2, RET3, SEC21, SEC26, SEC27, SEC28
GO:0016020	CC	e	membrane	7/7	2112/6920	0.0002449685821391817	2	7	0.01361737118361922	COP1, RET2, RET3, SEC21, SEC26, SEC27, SEC28
GO:0032991	CC	e	protein-containing complex	7/7	2176/6920	0.00030198995259705935	1	7	0.015854472511345613	COP1, RET2, RET3, SEC21, SEC26, SEC27, SEC28
