# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0000150	MF	e	DNA strand exchange activity	3/5	5/6920	1.8106432004758394e-09	4	3	4.684133959630997e-06	RAD51, RAD52, RAD57
GO:0140097	MF	e	catalytic activity, acting on DNA	5/5	215/6920	2.7666066080026643e-08	3	5	3.578605647451446e-05	RAD51, RAD52, RAD54, RAD55, RAD57
GO:0140612	MF	e	DNA damage sensor activity	3/5	14/6920	6.577881363678077e-08	3	3	4.2542447719587967e-05	RAD51, RAD55, RAD57
GO:0140664	MF	e	ATP-dependent DNA damage sensor activity	3/5	14/6920	6.577881363678077e-08	5	3	4.2542447719587967e-05	RAD51, RAD55, RAD57
GO:0008094	MF	e	ATP-dependent activity, acting on DNA	4/5	98/6920	1.871400766535732e-07	4	4	9.682627566055876e-05	RAD51, RAD54, RAD55, RAD57
GO:0140299	MF	e	molecular sensor activity	3/5	25/6920	4.1464336301276705e-07	2	3	0.0001787803966856714	RAD51, RAD55, RAD57
GO:0140640	MF	e	catalytic activity, acting on a nucleic acid	5/5	545/6920	2.979127155254399e-06	2	5	0.0011010002786633042	RAD51, RAD52, RAD54, RAD55, RAD57
GO:0003677	MF	e	DNA binding	5/5	676/6920	8.777926894333444e-06	3	5	0.0028385621094550776	RAD51, RAD52, RAD54, RAD55, RAD57
GO:0003697	MF	e	single-stranded DNA binding	3/5	77/6920	1.3038861466422905e-05	4	3	0.0037479482904040065	RAD51, RAD52, RAD57
GO:0140657	MF	e	ATP-dependent activity	4/5	294/6920	1.5438122892682952e-05	1	4	0.0039938423923370795	RAD51, RAD54, RAD55, RAD57
