# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0008296	MF	e	3'-5'-DNA exonuclease activity	3/3	11/6920	2.9888575152722046e-09	7	3	7.732174392009193e-06	POL3, POL31, POL32
GO:0016895	MF	e	DNA exonuclease activity, producing 5'-phosphomonoesters	3/3	18/6920	1.4781258984618909e-08	6	3	1.5136317143145274e-05	POL3, POL31, POL32
GO:0004529	MF	e	DNA exonuclease activity	3/3	19/6920	1.7552745044234952e-08	5	3	1.5136317143145274e-05	POL3, POL31, POL32
GO:0008408	MF	e	3'-5' exonuclease activity	3/3	32/6920	8.984686833787961e-08	5	3	5.8108462097523644e-05	POL3, POL31, POL32
GO:0004536	MF	e	DNA nuclease activity	3/3	40/6920	1.7896916515690535e-07	4	3	9.259864605218282e-05	POL3, POL31, POL32
GO:0004527	MF	e	exonuclease activity	3/3	50/6920	3.550400442383953e-07	4	3	0.00015308143240745477	POL3, POL31, POL32
GO:0003887	MF	e	DNA-directed DNA polymerase activity	3/3	65/6920	7.912320985884237e-07	6	3	0.00029241677700689317	POL3, POL31, POL32
GO:0034061	MF	e	DNA polymerase activity	3/3	69/6920	9.490800039707391e-07	5	3	0.00030690874628403776	POL3, POL31, POL32
GO:0008310	MF	e	single-stranded DNA 3'-5' DNA exonuclease activity	2/3	6/6920	1.8789950912677927e-06	8	2	0.0005401067001233089	POL31, POL32
GO:0008297	MF	e	single-stranded DNA exodeoxyribonuclease activity	2/3	7/6920	2.6303395277433116e-06	7	2	0.0006804688358271947	POL31, POL32
GO:0016779	MF	e	nucleotidyltransferase activity	3/3	143/6920	8.643975191334904e-06	4	3	0.0020329058018166727	POL3, POL31, POL32
GO:0004518	MF	e	nuclease activity	3/3	185/6920	1.8806616057611567e-05	3	3	0.004054392978420094	POL3, POL31, POL32
GO:0140097	MF	e	catalytic activity, acting on DNA	3/3	215/6920	2.958706282943898e-05	3	3	0.005887825503058357	POL3, POL31, POL32
GO:0016788	MF	e	hydrolase activity, acting on ester bonds	3/3	342/6920	0.00011970972120168236	3	3	0.022120646339196588	POL3, POL31, POL32
GO:0016772	MF	e	transferase activity, transferring phosphorus-containing groups	3/3	421/6920	0.00022367395987003103	3	3	0.038576302278918013	POL3, POL31, POL32
