# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0061188	BP	e	negative regulation of rDNA heterochromatin formation	3/5	8/6920	1.0133004819172874e-08	10	3	3.317842599361584e-05	RPD3, SAP30, SIN3
GO:0061187	BP	e	regulation of rDNA heterochromatin formation	3/5	9/6920	1.5196209440390336e-08	9	3	3.317842599361584e-05	RPD3, SAP30, SIN3
GO:0016479	BP	e	negative regulation of transcription by RNA polymerase I	3/5	10/6920	2.17041600481569e-08	11	3	3.317842599361584e-05	RPD3, SAP30, SIN3
GO:0061186	BP	e	negative regulation of silent mating-type cassette heterochromatin formation	3/5	11/6920	2.983674376712424e-08	10	3	3.4207826729007945e-05	RPD3, SAP30, SIN3
GO:0090054	BP	e	regulation of silent mating-type cassette heterochromatin formation	3/5	13/6920	5.169457525817318e-08	9	3	4.741426442679645e-05	RPD3, SAP30, SIN3
GO:0031452	BP	e	negative regulation of heterochromatin formation	3/5	14/6920	6.577881363678077e-08	9	3	5.027693988971277e-05	RPD3, SAP30, SIN3
GO:1905268	BP	e	negative regulation of chromatin organization	3/5	16/6920	1.011542373938975e-07	6	3	6.627047609834484e-05	RPD3, SAP30, SIN3
GO:0031445	BP	e	regulation of heterochromatin formation	3/5	17/6920	1.2280347374371323e-07	8	3	7.039709132358361e-05	RPD3, SAP30, SIN3
GO:1902275	BP	e	regulation of chromatin organization	3/5	24/6920	3.649654732971807e-07	5	3	0.0001859701845045412	RPD3, SAP30, SIN3
GO:0006356	BP	e	regulation of transcription by RNA polymerase I	3/5	39/6920	1.642566969943815e-06	10	3	0.0007060542697421586	RPD3, SAP30, SIN3
GO:0006357	BP	e	regulation of transcription by RNA polymerase II	5/5	487/6920	1.6935449121595607e-06	10	5	0.0007060542697421586	HDA1, RPD3, SAP30, SIN3, SNT1
GO:1902679	BP	e	negative regulation of RNA biosynthetic process	4/5	179/6920	2.122265069785174e-06	9	4	0.0007486698161565236	HDA1, RPD3, SAP30, SIN3
GO:0045892	BP	e	negative regulation of DNA-templated transcription	4/5	179/6920	2.122265069785174e-06	10	4	0.0007486698161565236	HDA1, RPD3, SAP30, SIN3
GO:0051253	BP	e	negative regulation of RNA metabolic process	4/5	189/6920	2.6393793560923268e-06	8	4	0.0008645852662171007	HDA1, RPD3, SAP30, SIN3
GO:2001141	BP	e	regulation of RNA biosynthetic process	5/5	581/6920	4.106611303676216e-06	8	5	0.0011770574649161954	HDA1, RPD3, SAP30, SIN3, SNT1
GO:0006355	BP	e	regulation of DNA-templated transcription	5/5	581/6920	4.106611303676216e-06	9	5	0.0011770574649161954	HDA1, RPD3, SAP30, SIN3, SNT1
GO:0045934	BP	e	negative regulation of nucleobase-containing compound metabolic process	4/5	222/6920	5.028544364145039e-06	7	4	0.0013565237914099498	HDA1, RPD3, SAP30, SIN3
GO:0051252	BP	e	regulation of RNA metabolic process	5/5	638/6920	6.567158025796147e-06	7	5	0.0016731659281278405	HDA1, RPD3, SAP30, SIN3, SNT1
GO:0034605	BP	e	cellular response to heat	3/5	64/6920	7.447647764647813e-06	5	3	0.0017976269815092036	RPD3, SAP30, SIN3
GO:0048522	BP	e	positive regulation of cellular process	5/5	717/6920	1.1792970669114132e-05	4	5	0.0027041281744278707	HDA1, RPD3, SAP30, SIN3, SNT1
GO:0019219	BP	e	regulation of nucleobase-containing compound metabolic process	5/5	725/6920	1.246764963697573e-05	6	5	0.002722697201674795	HDA1, RPD3, SAP30, SIN3, SNT1
GO:0048518	BP	e	positive regulation of biological process	5/5	740/6920	1.3815769506466652e-05	3	5	0.00280933101289202	HDA1, RPD3, SAP30, SIN3, SNT1
GO:0009408	BP	e	response to heat	3/5	79/6920	1.4089536261778556e-05	4	3	0.00280933101289202	RPD3, SAP30, SIN3
GO:0009266	BP	e	response to temperature stimulus	3/5	82/6920	1.5768426215066457e-05	3	3	0.0030130834425956153	RPD3, SAP30, SIN3
GO:0045944	BP	e	positive regulation of transcription by RNA polymerase II	4/5	311/6920	1.9313030123529017e-05	11	4	0.0034418404419818602	HDA1, RPD3, SAP30, SIN3
GO:0010628	BP	e	positive regulation of gene expression	3/5	88/6920	1.9513268968933356e-05	8	3	0.0034418404419818602	RPD3, SAP30, SIN3
GO:0006325	BP	e	chromatin organization	4/5	324/6920	2.273264276038647e-05	4	4	0.003861181470338235	HDA1, RPD3, SAP30, SIN3
GO:0045893	BP	e	positive regulation of DNA-templated transcription	4/5	355/6920	3.26941659940926e-05	10	4	0.005170187767203746	HDA1, RPD3, SAP30, SIN3
GO:1902680	BP	e	positive regulation of RNA biosynthetic process	4/5	355/6920	3.26941659940926e-05	9	4	0.005170187767203746	HDA1, RPD3, SAP30, SIN3
GO:0070550	BP	e	rDNA chromatin condensation	2/5	14/6920	3.788039394482275e-05	7	2	0.005790649554365237	RPD3, SIN3
GO:0051254	BP	e	positive regulation of RNA metabolic process	4/5	391/6920	4.7979400611579896e-05	8	4	0.006891518894983456	HDA1, RPD3, SAP30, SIN3
GO:0010468	BP	e	regulation of gene expression	5/5	953/6920	4.9090498318966846e-05	7	5	0.006891518894983456	HDA1, RPD3, SAP30, SIN3, SNT1
GO:0051129	BP	e	negative regulation of cellular component organization	3/5	120/6920	4.9590083631586144e-05	5	3	0.006891518894983456	RPD3, SAP30, SIN3
GO:0010556	BP	e	regulation of macromolecule biosynthetic process	5/5	982/6920	5.704602322843991e-05	6	5	0.007694501838988984	HDA1, RPD3, SAP30, SIN3, SNT1
GO:0045935	BP	e	positive regulation of nucleobase-containing compound metabolic process	4/5	417/6920	6.193561202590025e-05	7	4	0.008115334764307959	HDA1, RPD3, SAP30, SIN3
GO:0010557	BP	e	positive regulation of macromolecule biosynthetic process	4/5	423/6920	6.554357986861273e-05	7	4	0.008180564657803717	HDA1, RPD3, SAP30, SIN3
GO:0080090	BP	e	regulation of primary metabolic process	5/5	1011/6920	6.600106679867805e-05	5	5	0.008180564657803717	HDA1, RPD3, SAP30, SIN3, SNT1
GO:0009889	BP	e	regulation of biosynthetic process	5/5	1020/6920	6.89976106510037e-05	5	5	0.008326922169618499	HDA1, RPD3, SAP30, SIN3, SNT1
GO:0009891	BP	e	positive regulation of biosynthetic process	4/5	439/6920	7.592887451240337e-05	6	4	0.008928456884971328	HDA1, RPD3, SAP30, SIN3
GO:0010558	BP	e	negative regulation of macromolecule biosynthetic process	4/5	444/6920	7.941149805930082e-05	7	4	0.00910452825249884	HDA1, RPD3, SAP30, SIN3
GO:0030261	BP	e	chromosome condensation	2/5	22/6920	9.593550455019078e-05	6	2	0.010704926435906875	RPD3, SIN3
GO:0009890	BP	e	negative regulation of biosynthetic process	4/5	471/6920	0.00010030944219633874	6	4	0.010704926435906875	HDA1, RPD3, SAP30, SIN3
GO:0000122	BP	e	negative regulation of transcription by RNA polymerase II	3/5	152/6920	0.00010061006172590046	11	3	0.010704926435906875	HDA1, RPD3, SIN3
GO:0060255	BP	e	regulation of macromolecule metabolic process	5/5	1107/6920	0.00010396971863638229	5	5	0.010704926435906875	HDA1, RPD3, SAP30, SIN3, SNT1
GO:0030174	BP	e	regulation of DNA-templated DNA replication initiation	2/5	23/6920	0.00010504179886956157	10	2	0.010704926435906875	RPD3, SIN3
GO:0010605	BP	e	negative regulation of macromolecule metabolic process	4/5	492/6920	0.00011918984216216234	6	4	0.011882709046862533	HDA1, RPD3, SAP30, SIN3
GO:0010604	BP	e	positive regulation of macromolecule metabolic process	4/5	500/6920	0.0001270333782366095	6	4	0.0123952143104913	HDA1, RPD3, SAP30, SIN3
GO:0019222	BP	e	regulation of metabolic process	5/5	1196/6920	0.00015315012929327106	4	5	0.014632218602894605	HDA1, RPD3, SAP30, SIN3, SNT1
GO:0009892	BP	e	negative regulation of metabolic process	4/5	540/6920	0.00017213280072795966	5	4	0.016110224982416797	HDA1, RPD3, SAP30, SIN3
GO:0009893	BP	e	positive regulation of metabolic process	4/5	544/6920	0.00017721706857494978	5	4	0.016254349529694394	HDA1, RPD3, SAP30, SIN3
GO:0009628	BP	e	response to abiotic stimulus	3/5	189/6920	0.00019259544754005197	2	3	0.01731848475330742	RPD3, SAP30, SIN3
GO:0044839	BP	e	cell cycle G2/M phase transition	2/5	42/6920	0.0003555115499099007	4	2	0.03076181071484537	RPD3, SIN3
GO:0000086	BP	e	G2/M transition of mitotic cell cycle	2/5	42/6920	0.0003555115499099007	5	2	0.03076181071484537	RPD3, SIN3
GO:0090329	BP	e	regulation of DNA-templated DNA replication	2/5	43/6920	0.0003727454725006337	9	2	0.031655754386813076	RPD3, SIN3
GO:0044804	BP	e	nucleophagy	2/5	49/6920	0.00048459188635285736	6	2	0.04040615256025825	RPD3, SIN3
GO:0006275	BP	e	regulation of DNA replication	2/5	54/6920	0.0005888143130080714	8	2	0.048219686418839565	RPD3, SIN3
GO:0048523	BP	e	negative regulation of cellular process	4/5	748/6920	0.0006193791903349482	4	4	0.049746788641165	HDA1, RPD3, SAP30, SIN3
GO:0048519	BP	e	negative regulation of biological process	4/5	751/6920	0.0006291569431285587	3	4	0.049746788641165	HDA1, RPD3, SAP30, SIN3
