# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0003743	MF	e	translation initiation factor activity	8/8	38/6920	3.765039486704636e-19	2	8	9.740157152104894e-16	GCD11, NIP1, PRT1, SUI1, SUI2, SUI3, TIF34, TIF5
GO:0180051	MF	e	translation factor activity	8/8	61/6920	2.2671985912108608e-17	1	8	2.9326213777312486e-14	GCD11, NIP1, PRT1, SUI1, SUI2, SUI3, TIF34, TIF5
GO:0031369	MF	e	translation initiation factor binding	6/8	25/6920	3.243140280344617e-14	3	6	2.7966679684171745e-11	GCD11, NIP1, PRT1, SUI1, SUI3, TIF5
GO:1990856	MF	e	methionyl-initiator methionine tRNA binding	3/8	4/6920	4.0554007077074465e-09	5	3	2.622830407709791e-06	GCD11, SUI2, SUI3
GO:0005525	MF	e	GTP binding	4/8	115/6920	4.8140915045183425e-06	8	4	0.0017791506745984216	GCD11, SUI2, SUI3, TIF5
GO:0019001	MF	e	guanyl nucleotide binding	4/8	115/6920	4.8140915045183425e-06	6	4	0.0017791506745984216	GCD11, SUI2, SUI3, TIF5
GO:0032561	MF	e	guanyl ribonucleotide binding	4/8	115/6920	4.8140915045183425e-06	7	4	0.0017791506745984216	GCD11, SUI2, SUI3, TIF5
GO:0003723	MF	e	RNA binding	7/8	1124/6920	2.016972758180781e-05	3	7	0.006522385656767101	GCD11, NIP1, PRT1, SUI1, SUI2, SUI3, TIF34
GO:0000049	MF	e	tRNA binding	3/8	55/6920	2.587133409525518e-05	4	3	0.007436571256047239	GCD11, SUI2, SUI3
GO:0005515	MF	e	protein binding	6/8	807/6920	5.6218117215873234e-05	2	6	0.014543626923746404	GCD11, NIP1, PRT1, SUI1, SUI3, TIF5
