# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0000812	CC	e	Swr1 complex	13/13	15/6920	7.924804632581294e-39	6	13	7.488940377789322e-36	ACT1, ARP4, ARP6, RVB1, RVB2, SWC3, SWC4, SWC5, SWC7, SWR1, VPS71, VPS72, YAF9
GO:0097346	CC	e	INO80-type complex	13/13	27/6920	1.51388675011148e-33	5	13	7.153114894276743e-31	ACT1, ARP4, ARP6, RVB1, RVB2, SWC3, SWC4, SWC5, SWC7, SWR1, VPS71, VPS72, YAF9
GO:0000118	CC	e	histone deacetylase complex	13/13	56/6920	1.4263989692283706e-28	3	13	4.4931567530693674e-26	ACT1, ARP4, ARP6, RVB1, RVB2, SWC3, SWC4, SWC5, SWC7, SWR1, VPS71, VPS72, YAF9
GO:0070603	CC	e	SWI/SNF superfamily-type complex	13/13	61/6920	4.95581225564389e-28	4	13	1.170810645395869e-25	ACT1, ARP4, ARP6, RVB1, RVB2, SWC3, SWC4, SWC5, SWC7, SWR1, VPS71, VPS72, YAF9
GO:1904949	CC	e	ATPase complex	13/13	71/6920	4.385415488172574e-27	3	13	8.288435272646164e-25	ACT1, ARP4, ARP6, RVB1, RVB2, SWC3, SWC4, SWC5, SWC7, SWR1, VPS71, VPS72, YAF9
GO:0140513	CC	e	nuclear protein-containing complex	13/13	707/6920	1.1961145017841586e-13	2	13	1.4513584693152471e-11	ACT1, ARP4, ARP6, RVB1, RVB2, SWC3, SWC4, SWC5, SWC7, SWR1, VPS71, VPS72, YAF9
GO:0035267	CC	e	NuA4 histone acetyltransferase complex	6/13	17/6920	1.3822461612526164e-13	9	6	1.4513584693152471e-11	ACT1, ARP4, RVB1, RVB2, SWC4, YAF9
GO:0043189	CC	e	H4/H2A histone acetyltransferase complex	6/13	17/6920	1.3822461612526164e-13	8	6	1.4513584693152471e-11	ACT1, ARP4, RVB1, RVB2, SWC4, YAF9
GO:1902562	CC	e	H4 histone acetyltransferase complex	6/13	17/6920	1.3822461612526164e-13	7	6	1.4513584693152471e-11	ACT1, ARP4, RVB1, RVB2, SWC4, YAF9
GO:1902494	CC	e	catalytic complex	13/13	851/6920	1.3570655166465167e-12	2	13	1.2824269132309584e-10	ACT1, ARP4, ARP6, RVB1, RVB2, SWC3, SWC4, SWC5, SWC7, SWR1, VPS71, VPS72, YAF9
GO:0000123	CC	e	histone acetyltransferase complex	6/13	46/6920	1.0200774611900292e-10	6	6	8.763392734768888e-09	ACT1, ARP4, RVB1, RVB2, SWC4, YAF9
GO:0031248	CC	e	protein acetyltransferase complex	6/13	54/6920	2.7931039827086104e-10	5	6	2.1995693863830307e-08	ACT1, ARP4, RVB1, RVB2, SWC4, YAF9
GO:1902493	CC	e	acetyltransferase complex	6/13	59/6920	4.851563364077094e-10	4	6	3.5267133685021955e-08	ACT1, ARP4, RVB1, RVB2, SWC4, YAF9
GO:0031011	CC	e	Ino80 complex	4/13	16/6920	1.346202040742913e-08	6	4	9.086863775014663e-07	ACT1, ARP4, RVB1, RVB2
GO:0032991	CC	e	protein-containing complex	13/13	2176/6920	2.8673921785701894e-07	1	13	1.8064570724992194e-05	ACT1, ARP4, ARP6, RVB1, RVB2, SWC3, SWC4, SWC5, SWC7, SWR1, VPS71, VPS72, YAF9
GO:0005634	CC	e	nucleus	12/13	2331/6920	1.879026375500569e-05	5	12	0.0010843964759138837	ARP4, ARP6, RVB1, RVB2, SWC3, SWC4, SWC5, SWC7, SWR1, VPS71, VPS72, YAF9
GO:0097255	CC	e	R2TP complex	2/13	4/6920	1.950766147146669e-05	2	2	0.0010843964759138837	RVB1, RVB2
GO:0140535	CC	e	intracellular protein-containing complex	6/13	410/6920	5.00998325629339e-05	2	6	0.002491807461682765	ACT1, ARP4, RVB1, RVB2, SWC4, YAF9
GO:1990234	CC	e	transferase complex	6/13	410/6920	5.00998325629339e-05	3	6	0.002491807461682765	ACT1, ARP4, RVB1, RVB2, SWC4, YAF9
GO:0110078	CC	e	TTT Hsp90 cochaperone complex	2/13	7/6920	6.805993328966045e-05	2	2	0.003215831847936456	RVB1, RVB2
