# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0019888	MF	e	protein phosphatase regulator activity	5/6	40/6920	2.977318180888974e-11	4	5	4.385513743161959e-08	GAC1, GIP2, GLC8, REG1, SDS22
GO:0019208	MF	e	phosphatase regulator activity	5/6	41/6920	3.390424231280989e-11	3	5	4.385513743161959e-08	GAC1, GIP2, GLC8, REG1, SDS22
GO:0030234	MF	e	enzyme regulator activity	5/6	328/6920	1.3399029282191877e-06	2	5	0.0011554429584343462	GAC1, GIP2, GLC8, REG1, SDS22
GO:0098772	MF	e	molecular function regulator activity	5/6	396/6920	3.4257363539909724e-06	1	5	0.0022155949869436613	GAC1, GIP2, GLC8, REG1, SDS22
GO:2001069	MF	e	glycogen binding	2/6	6/6920	9.384113953244532e-06	4	2	0.004046117132840601	GAC1, GIP2
GO:0030247	MF	e	polysaccharide binding	2/6	6/6920	9.384113953244532e-06	3	2	0.004046117132840601	GAC1, GIP2
GO:0008157	MF	e	protein phosphatase 1 binding	2/6	10/6920	2.8108945304645866e-05	6	2	0.010388263071874121	GAC1, GIP2
GO:0019212	MF	e	phosphatase inhibitor activity	2/6	12/6920	4.1194660038940745e-05	4	2	0.011841176168971079	GLC8, SDS22
GO:0004864	MF	e	protein phosphatase inhibitor activity	2/6	12/6920	4.1194660038940745e-05	5	2	0.011841176168971079	GLC8, SDS22
GO:0019903	MF	e	protein phosphatase binding	2/6	17/6920	8.472237018612113e-05	5	2	0.021917677167149537	GAC1, GIP2
GO:0019902	MF	e	phosphatase binding	2/6	18/6920	9.527589332494701e-05	4	2	0.022407157821057993	GAC1, GIP2
