# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0030870	CC	e	Mre11 complex	3/7	4/6920	2.5349004170514314e-09	3	3	2.3954808941136025e-06	MRE11, RAD50, XRS2
GO:0140513	CC	e	nuclear protein-containing complex	7/7	707/6920	1.1312850382575331e-07	2	7	5.345321805766844e-05	DNL4, LIF1, MRE11, RAD50, XRS2, YKU70, YKU80
GO:0005694	CC	e	chromosome	5/7	196/6920	3.4757346392582887e-07	5	5	0.00010948564113663609	MRE11, RAD50, XRS2, YKU70, YKU80
GO:0043564	CC	e	Ku70:Ku80 complex	2/7	2/6920	8.772025093004354e-07	3	2	0.00020723909282222786	YKU70, YKU80
GO:0000781	CC	e	chromosome, telomeric region	4/7	111/6920	2.1152720728350527e-06	3	4	0.00031070885671467867	MRE11, XRS2, YKU70, YKU80
GO:0032807	CC	e	DNA ligase IV complex	2/7	3/6920	2.6303395277433116e-06	5	2	0.00031070885671467867	DNL4, LIF1
GO:0070419	CC	e	nonhomologous end joining complex	2/7	3/6920	2.6303395277433116e-06	4	2	0.00031070885671467867	DNL4, LIF1
GO:1990391	CC	e	DNA repair complex	2/7	3/6920	2.6303395277433116e-06	3	2	0.00031070885671467867	DNL4, LIF1
GO:0098687	CC	e	chromosomal region	4/7	190/6920	1.806841630417234e-05	2	4	0.0018971837119380953	MRE11, XRS2, YKU70, YKU80
GO:0032991	CC	e	protein-containing complex	7/7	2176/6920	0.00030198995259705935	1	7	0.02853805052042211	DNL4, LIF1, MRE11, RAD50, XRS2, YKU70, YKU80
GO:0005634	CC	e	nucleus	7/7	2331/6920	0.0004891650358228546	5	7	0.04202372353205433	DNL4, LIF1, MRE11, RAD50, XRS2, YKU70, YKU80
