# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0000133	CC	e	polarisome	4/5	6/6920	7.854603415195754e-13	2	4	7.422600227359987e-10	BNI1, BUD6, PEA2, SPA2
GO:0000131	CC	e	incipient cellular bud site	5/5	69/6920	8.51113257274884e-11	3	5	4.021510140623827e-08	BNI1, BUD6, PEA2, SPA2, SPH1
GO:0005934	CC	e	cellular bud tip	5/5	106/6920	7.674730906789012e-10	3	5	2.417540235638539e-07	BNI1, BUD6, PEA2, SPA2, SPH1
GO:0043332	CC	e	mating projection tip	5/5	121/6920	1.5054928726021277e-09	4	5	3.5497344384160193e-07	BNI1, BUD6, PEA2, SPA2, SPH1
GO:0060187	CC	e	cell pole	5/5	131/6920	2.2537996434387423e-09	2	5	3.5497344384160193e-07	BNI1, BUD6, PEA2, SPA2, SPH1
GO:0051286	CC	e	cell tip	5/5	131/6920	2.2537996434387423e-09	3	5	3.5497344384160193e-07	BNI1, BUD6, PEA2, SPA2, SPH1
GO:0005935	CC	e	cellular bud neck	5/5	201/6920	1.9692815084564587e-08	3	5	2.658530036416219e-06	BNI1, BUD6, PEA2, SPA2, SPH1
GO:0030427	CC	e	site of polarized growth	5/5	282/6920	1.086074746943888e-07	2	5	1.2829257948274675e-05	BNI1, BUD6, PEA2, SPA2, SPH1
GO:0070938	CC	e	contractile ring	3/5	21/6920	2.399805410680003e-07	2	3	2.2678161130926027e-05	BNI1, SPA2, SPH1
GO:0005826	CC	e	actomyosin contractile ring	3/5	21/6920	2.399805410680003e-07	3	3	2.2678161130926027e-05	BNI1, SPA2, SPH1
GO:1902716	CC	e	cell cortex of growing cell tip	2/5	2/6920	4.1771548061925486e-07	6	2	3.5885557198654166e-05	SPA2, SPH1
GO:0005938	CC	e	cell cortex	3/5	63/6920	7.100088380754087e-06	3	3	0.0005591319599843843	BNI1, SPA2, SPH1
GO:0051285	CC	e	cell cortex of cell tip	2/5	9/6920	1.5007345092865297e-05	5	2	0.001090918547135208	SPA2, SPH1
GO:0099568	CC	e	cytoplasmic region	2/5	11/6920	2.2914626122136795e-05	3	2	0.0014436214456946181	SPA2, SPH1
GO:0099738	CC	e	cell cortex region	2/5	11/6920	2.2914626122136795e-05	4	2	0.0014436214456946181	SPA2, SPH1
GO:0042995	CC	e	cell projection	2/5	13/6920	3.247830606893903e-05	2	2	0.0019182499521967114	BNI1, SPH1
