# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0006086	BP	e	pyruvate decarboxylation to acetyl-CoA	4/7	4/6920	3.666329790354977e-13	10	4	1.6813788418567922e-09	LAT1, PDA1, PDB1, PDX1
GO:0006085	BP	e	acetyl-CoA biosynthetic process	4/7	6/6920	5.495678260822613e-12	9	4	1.2601590252066251e-08	LAT1, PDA1, PDB1, PDX1
GO:0071616	BP	e	acyl-CoA biosynthetic process	4/7	8/6920	2.5628697153689066e-11	8	4	2.9383301286704512e-08	LAT1, PDA1, PDB1, PDX1
GO:0035384	BP	e	thioester biosynthetic process	4/7	8/6920	2.5628697153689066e-11	5	4	2.9383301286704512e-08	LAT1, PDA1, PDB1, PDX1
GO:0006090	BP	e	pyruvate metabolic process	5/7	34/6920	4.3944185805760516e-11	8	5	4.030560722104355e-08	LAT1, LPD1, PDA1, PDB1, PDX1
GO:0006084	BP	e	acetyl-CoA metabolic process	4/7	13/6920	2.6132464733645094e-10	8	4	1.9973913878082733e-07	LAT1, PDA1, PDB1, PDX1
GO:0035383	BP	e	thioester metabolic process	4/7	23/6920	3.2251757045152527e-09	4	4	1.8488319726133687e-06	LAT1, PDA1, PDB1, PDX1
GO:0006637	BP	e	acyl-CoA metabolic process	4/7	23/6920	3.2251757045152527e-09	7	4	1.8488319726133687e-06	LAT1, PDA1, PDB1, PDX1
GO:0032787	BP	e	monocarboxylic acid metabolic process	5/7	158/6920	1.1794756939219775e-07	7	5	6.010083924806877e-05	LAT1, LPD1, PDA1, PDB1, PDX1
GO:0043604	BP	e	amide biosynthetic process	4/7	59/6920	1.637000815256499e-07	4	4	7.507285738766305e-05	LAT1, PDA1, PDB1, PDX1
GO:0044272	BP	e	sulfur compound biosynthetic process	4/7	85/6920	7.216868707321669e-07	4	4	0.0003008778171979743	LAT1, PDA1, PDB1, PDX1
GO:0072522	BP	e	purine-containing compound biosynthetic process	4/7	92/6920	9.93472296084501e-07	4	4	0.00037967199582029346	LAT1, PDA1, PDB1, PDX1
GO:0043603	BP	e	amide metabolic process	4/7	116/6920	2.524509232148369e-06	3	4	0.0008905691798948015	LAT1, PDA1, PDB1, PDX1
GO:1901293	BP	e	nucleoside phosphate biosynthetic process	4/7	131/6920	4.109247302751166e-06	7	4	0.001256333875361123	LAT1, PDA1, PDB1, PDX1
GO:0006790	BP	e	sulfur compound metabolic process	4/7	131/6920	4.109247302751166e-06	3	4	0.001256333875361123	LAT1, PDA1, PDB1, PDX1
GO:0019752	BP	e	carboxylic acid metabolic process	5/7	340/6920	5.384028257261845e-06	6	5	0.0015431970992376763	LAT1, LPD1, PDA1, PDB1, PDX1
GO:0043436	BP	e	oxoacid metabolic process	5/7	360/6920	7.141006138064281e-06	5	5	0.0018698210976608625	LAT1, LPD1, PDA1, PDB1, PDX1
GO:0006082	BP	e	organic acid metabolic process	5/7	362/6920	7.339027422131601e-06	4	5	0.0018698210976608625	LAT1, LPD1, PDA1, PDB1, PDX1
GO:0072521	BP	e	purine-containing compound metabolic process	4/7	172/6920	1.2171112747284302e-05	3	4	0.0029377222662655684	LAT1, PDA1, PDB1, PDX1
GO:0006796	BP	e	phosphate-containing compound metabolic process	5/7	462/6920	2.4374209645316936e-05	4	5	0.005589006271671174	LAT1, PDA1, PDB1, PDX1, PTC5
GO:0006793	BP	e	phosphorus metabolic process	5/7	477/6920	2.85068826101193e-05	3	5	0.006225360173809862	LAT1, PDA1, PDB1, PDX1, PTC5
GO:0006753	BP	e	nucleoside phosphate metabolic process	4/7	228/6920	3.716227550606476e-05	6	4	0.007746645248673317	LAT1, PDA1, PDB1, PDX1
GO:0055086	BP	e	nucleobase-containing small molecule metabolic process	4/7	242/6920	4.70033893617825e-05	5	4	0.009372067113614546	LAT1, PDA1, PDB1, PDX1
GO:0090407	BP	e	organophosphate biosynthetic process	4/7	266/6920	6.818033989187619e-05	5	4	0.01302812661433934	LAT1, PDA1, PDB1, PDX1
GO:0044281	BP	e	small molecule metabolic process	5/7	706/6920	0.00019213815650276792	3	5	0.03524582342886775	LAT1, LPD1, PDA1, PDB1, PDX1
