# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0070461	CC	e	SAGA-type complex	7/7	22/6920	1.1345997372096404e-18	7	7	1.0721967516631102e-15	ADA2, AHC1, GCN5, HFI1, NGG1, SPT7, TAF10
GO:0000123	CC	e	histone acetyltransferase complex	7/7	46/6920	3.5609043919592646e-16	6	7	1.1588613786800628e-13	ADA2, AHC1, GCN5, HFI1, NGG1, SPT7, TAF10
GO:0046695	CC	e	SLIK (SAGA-like) complex	6/7	16/6920	3.678925011682739e-16	8	6	1.1588613786800628e-13	ADA2, GCN5, HFI1, NGG1, SPT7, TAF10
GO:0031248	CC	e	protein acetyltransferase complex	7/7	54/6920	1.1782193969631308e-15	5	7	2.7835433253253965e-13	ADA2, AHC1, GCN5, HFI1, NGG1, SPT7, TAF10
GO:0000124	CC	e	SAGA complex	6/7	20/6920	1.779774405959304e-15	8	6	3.3637736272630844e-13	ADA2, GCN5, HFI1, NGG1, SPT7, TAF10
GO:1902493	CC	e	acetyltransferase complex	7/7	59/6920	2.2696082640304814e-15	4	7	3.574633015848008e-13	ADA2, AHC1, GCN5, HFI1, NGG1, SPT7, TAF10
GO:0140671	CC	e	ADA complex	4/7	6/6920	5.495678260822613e-12	8	4	7.419165652110527e-10	ADA2, AHC1, GCN5, NGG1
GO:1905368	CC	e	peptidase complex	6/7	80/6920	1.3695497030564009e-11	3	6	1.6177805867353734e-09	ADA2, GCN5, HFI1, NGG1, SPT7, TAF10
GO:1990234	CC	e	transferase complex	7/7	410/6920	2.4417424654217562e-09	3	7	2.3074466298235597e-07	ADA2, AHC1, GCN5, HFI1, NGG1, SPT7, TAF10
GO:0140535	CC	e	intracellular protein-containing complex	7/7	410/6920	2.4417424654217562e-09	2	7	2.3074466298235597e-07	ADA2, AHC1, GCN5, HFI1, NGG1, SPT7, TAF10
GO:1902494	CC	e	catalytic complex	7/7	851/6920	4.162346281032303e-07	2	7	3.5758338505232056e-05	ADA2, AHC1, GCN5, HFI1, NGG1, SPT7, TAF10
GO:0032991	CC	e	protein-containing complex	7/7	2176/6920	0.00030198995259705935	1	7	0.023781708767018423	ADA2, AHC1, GCN5, HFI1, NGG1, SPT7, TAF10
GO:0005634	CC	e	nucleus	7/7	2331/6920	0.0004891650358228546	5	7	0.03555853529635366	ADA2, AHC1, GCN5, HFI1, NGG1, SPT7, TAF10
