# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:1990817	MF	e	poly(A) RNA polymerase activity	4/5	6/6920	7.854603415195754e-13	6	4	2.0319859035111415e-09	AIR1, AIR2, PAP2, TRF5
GO:0070566	MF	e	adenylyltransferase activity	4/5	19/6920	2.0265767417631853e-10	5	4	2.6213770154706805e-07	AIR1, AIR2, PAP2, TRF5
GO:0034458	MF	e	3'-5' RNA helicase activity	3/5	4/6920	7.244143904342812e-10	7	3	6.246866760178285e-07	AIR2, MTR4, PAP2
GO:0016779	MF	e	nucleotidyltransferase activity	4/5	143/6920	8.607046650597356e-07	4	4	0.000556660742127384	AIR1, AIR2, PAP2, TRF5
GO:0003724	MF	e	RNA helicase activity	3/5	46/6920	2.7241701987329357e-06	6	3	0.0014094856608244208	AIR2, MTR4, PAP2
GO:0008186	MF	e	ATP-dependent activity, acting on RNA	3/5	49/6920	3.30417132191184e-06	2	3	0.0014246485349643217	AIR2, MTR4, PAP2
GO:0004386	MF	e	helicase activity	3/5	111/6920	3.924498866247086e-05	5	3	0.014503826524258873	AIR2, MTR4, PAP2
GO:0120545	MF	e	nucleic acid conformation isomerase activity	3/5	120/6920	4.9590083631586144e-05	4	3	0.01603619329436417	AIR2, MTR4, PAP2
GO:0016772	MF	e	transferase activity, transferring phosphorus-containing groups	4/5	421/6920	6.4324026518251e-05	3	4	0.01848958406696837	AIR1, AIR2, PAP2, TRF5
GO:0120543	MF	e	macromolecular conformation isomerase activity	3/5	144/6920	8.560146253116911e-05	3	3	0.02214509835681345	AIR2, MTR4, PAP2
