# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0006897	BP	e	endocytosis	4/4	119/6920	8.31811769974031e-08	5	4	0.0003073016877088683	CHC1, CLC1, ENT3, ENT5
GO:0006895	BP	e	Golgi to endosome transport	3/4	24/6920	1.4631934609871728e-07	7	3	0.0003073016877088683	CHC1, ENT3, ENT5
GO:0098657	BP	e	import into cell	4/4	148/6920	2.010259623041005e-07	4	4	0.0003073016877088683	CHC1, CLC1, ENT3, ENT5
GO:0016482	BP	e	cytosolic transport	3/4	67/6920	3.4469727028605004e-06	5	3	0.003951954203829564	CHC1, ENT3, ENT5
GO:0006892	BP	e	post-Golgi vesicle-mediated transport	3/4	82/6920	6.361839964257411e-06	6	3	0.005835079615216898	CHC1, ENT3, ENT5
GO:0034498	BP	e	early endosome to Golgi transport	2/4	11/6920	1.3760710370788921e-05	7	2	0.009464166860786256	ENT3, ENT5
GO:0016192	BP	e	vesicle-mediated transport	4/4	433/6920	1.513106895703522e-05	4	4	0.009464166860786256	CHC1, CLC1, ENT3, ENT5
GO:0006898	BP	e	receptor-mediated endocytosis	2/4	12/6920	1.6509667441406465e-05	6	2	0.009464166860786256	CHC1, CLC1
GO:0015031	BP	e	protein transport	4/4	570/6920	4.559012240632951e-05	6	4	0.023230700150603013	CHC1, CLC1, ENT3, ENT5
GO:0045184	BP	e	establishment of protein localization	4/4	631/6920	6.85381597534649e-05	5	4	0.031431600062939005	CHC1, CLC1, ENT3, ENT5
GO:0046907	BP	e	intracellular transport	4/4	652/6920	7.815178095075482e-05	4	4	0.0325821879491056	CHC1, CLC1, ENT3, ENT5
GO:0051649	BP	e	establishment of localization in cell	4/4	686/6920	9.581725704635625e-05	3	4	0.03661816173454915	CHC1, CLC1, ENT3, ENT5
GO:0048193	BP	e	Golgi vesicle transport	3/4	208/6920	0.0001047293902199835	5	3	0.03694530642683418	CHC1, ENT3, ENT5
GO:0071705	BP	e	nitrogen compound transport	4/4	755/6920	0.00014069652005962397	4	4	0.04236636943681642	CHC1, CLC1, ENT3, ENT5
GO:0008104	BP	e	protein localization	4/4	759/6920	0.00014370798438436325	4	4	0.04236636943681642	CHC1, CLC1, ENT3, ENT5
GO:0070727	BP	e	cellular macromolecule localization	4/4	774/6920	0.0001554334098648612	3	4	0.04236636943681642	CHC1, CLC1, ENT3, ENT5
GO:0033036	BP	e	macromolecule localization	4/4	776/6920	0.0001570493415669165	2	4	0.04236636943681642	CHC1, CLC1, ENT3, ENT5
