# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0070603	CC	e	SWI/SNF superfamily-type complex	4/8	61/6920	3.726681119295735e-07	4	4	0.0002175522554812918	IES5, RVB1, RVB2, SNF12
GO:0031011	CC	e	Ino80 complex	3/8	16/6920	5.640715386937362e-07	6	3	0.0002175522554812918	IES5, RVB1, RVB2
GO:1904949	CC	e	ATPase complex	4/8	71/6920	6.906420808929899e-07	3	4	0.0002175522554812918	IES5, RVB1, RVB2, SNF12
GO:0097346	CC	e	INO80-type complex	3/8	27/6920	2.928718797826027e-06	5	3	0.0006919098159863988	IES5, RVB1, RVB2
GO:0097255	CC	e	R2TP complex	2/8	4/6920	7.009507073190193e-06	2	2	0.0013247968368329465	RVB1, RVB2
GO:0000123	CC	e	histone acetyltransferase complex	3/8	46/6920	1.5043090717836748e-05	6	3	0.002369286788059288	ADA2, RVB1, RVB2
GO:0031248	CC	e	protein acetyltransferase complex	3/8	54/6920	2.4473492369919824e-05	5	3	0.002892968569048039	ADA2, RVB1, RVB2
GO:0110078	CC	e	TTT Hsp90 cochaperone complex	2/8	7/6920	2.449073920887229e-05	2	2	0.002892968569048039	RVB1, RVB2
GO:1902493	CC	e	acetyltransferase complex	3/8	59/6920	3.1988605070878735e-05	4	3	0.003358803532442267	ADA2, RVB1, RVB2
GO:0000812	CC	e	Swr1 complex	2/8	15/6920	0.00012188824482147292	6	2	0.011100147427966323	RVB1, RVB2
GO:0043189	CC	e	H4/H2A histone acetyltransferase complex	2/8	17/6920	0.00015769169588095318	8	2	0.011100147427966323	RVB1, RVB2
GO:1902562	CC	e	H4 histone acetyltransferase complex	2/8	17/6920	0.00015769169588095318	7	2	0.011100147427966323	RVB1, RVB2
GO:0035267	CC	e	NuA4 histone acetyltransferase complex	2/8	17/6920	0.00015769169588095318	9	2	0.011100147427966323	RVB1, RVB2
GO:0005634	CC	e	nucleus	8/8	2331/6920	0.00016444662856246404	5	8	0.011100147427966323	ADA2, ESC8, HHF2, IES5, MOT1, RVB1, RVB2, SNF12
