# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0032991	CC	e	protein-containing complex	10/11	2176/6920	7.329604766592427e-05	1	10	0.02695600722461672	CDC33, CHL4, ENP1, INO80, MHR1, NOP15, RPS22A, RTS1, SRP102, TSR1
GO:0043228	CC	e	membraneless organelle	8/11	1210/6920	8.557462610989435e-05	3	8	0.02695600722461672	CDC33, CHL4, ENP1, MHR1, NOP15, RPS22A, RTS1, TSR1
GO:0043232	CC	e	intracellular membraneless organelle	8/11	1210/6920	8.557462610989435e-05	4	8	0.02695600722461672	CDC33, CHL4, ENP1, MHR1, NOP15, RPS22A, RTS1, TSR1
GO:1990904	CC	e	ribonucleoprotein complex	5/11	622/6920	0.0016846949559556795	2	5	0.34815324586822927	ENP1, MHR1, NOP15, RPS22A, TSR1
GO:0030684	CC	e	preribosome	3/11	163/6920	0.001842080665969467	3	3	0.34815324586822927	ENP1, NOP15, TSR1
GO:0005785	CC	e	signal recognition particle receptor complex	1/11	2/6920	0.003176893316301681	3	1	0.5003606973175148	SRP102
GO:0000776	CC	e	kinetochore	2/11	75/6920	0.005984103591308498	5	2	0.6414640055439587	CHL4, RTS1
GO:0016281	CC	e	eukaryotic translation initiation factor 4F complex	1/11	4/6920	0.006344608844002975	4	1	0.6414640055439587	CDC33
GO:0030686	CC	e	90S preribosome	2/11	81/6920	0.0069505712937235195	4	2	0.6414640055439587	ENP1, TSR1
GO:0000775	CC	e	chromosome, centromeric region	2/11	83/6920	0.007287589683391499	3	2	0.6414640055439587	CHL4, INO80
GO:0099080	CC	e	supramolecular complex	3/11	275/6920	0.008078074710962486	2	3	0.6414640055439587	CDC33, CHL4, RTS1
GO:0005634	CC	e	nucleus	8/11	2331/6920	0.00942087477024867	5	8	0.6414640055439587	CDC33, CHL4, ENP1, INO80, MHR1, NOP15, RTS1, TSR1
GO:0034518	CC	e	RNA cap binding complex	1/11	6/6920	0.009503170452503092	3	1	0.6414640055439587	CDC33
GO:0000940	CC	e	outer kinetochore	1/11	6/6920	0.009503170452503092	2	1	0.6414640055439587	CHL4
GO:0000159	CC	e	protein phosphatase type 2A complex	1/11	8/6920	0.012652601956003918	5	1	0.7971139232282468	RTS1
GO:0005730	CC	e	nucleolus	3/11	365/6920	0.017492647966868814	5	3	1.0	ENP1, NOP15, TSR1
GO:0030688	CC	e	preribosome, small subunit precursor	1/11	12/6920	0.018924169629498853	4	1	1.0	ENP1
GO:0031011	CC	e	Ino80 complex	1/11	16/6920	0.025159501278397136	6	1	1.0	INO80
