# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0160246	MF	e	NADPH-iron-sulfur [2Fe-2S] protein oxidoreductase activity	1/6	1/6920	0.0008670520231213874	5	1	1.0	TAH18
GO:0016731	MF	e	oxidoreductase activity, acting on iron-sulfur proteins as donors, NAD or NADP as acceptor	1/6	2/6920	0.0017334774730218458	4	1	1.0	TAH18
GO:0003680	MF	e	minor groove of adenine-thymine-rich DNA binding	1/6	3/6920	0.0025992767119871357	5	1	1.0	SMC2
GO:0016730	MF	e	oxidoreductase activity, acting on iron-sulfur proteins as donors	1/6	3/6920	0.0025992767119871357	3	1	1.0	TAH18
GO:0005198	MF	e	structural molecule activity	3/6	380/6920	0.0029012739253354938	1	3	1.0	CDC11, RPL4A, SEC26
GO:0010314	MF	e	phosphatidylinositol-5-phosphate binding	1/6	10/6920	0.008642367877577689	6	1	1.0	CDC11
GO:0003968	MF	e	RNA-directed RNA polymerase activity	1/6	12/6920	0.010363350069999831	7	1	1.0	RPO26
GO:0070273	MF	e	phosphatidylinositol-4-phosphate binding	1/6	19/6920	0.016367194864926837	6	1	1.0	CDC11
GO:0050661	MF	e	NADP binding	1/6	20/6920	0.01722240379563404	7	1	1.0	TAH18
GO:0010181	MF	e	FMN binding	1/6	20/6920	0.01722240379563404	6	1	1.0	TAH18
GO:0005200	MF	e	structural constituent of cytoskeleton	1/6	21/6920	0.018076993009724804	2	1	1.0	CDC11
GO:0000217	MF	e	DNA secondary structure binding	1/6	29/6920	0.024891440008423964	4	1	1.0	SMC2
GO:0016651	MF	e	oxidoreductase activity, acting on NAD(P)H	1/6	31/6920	0.026588879707189744	3	1	1.0	TAH18
GO:0032553	MF	e	ribonucleotide binding	3/6	845/6920	0.027293602009983594	5	3	1.0	CDC11, SMC2, TAH18
GO:0097367	MF	e	carbohydrate derivative binding	3/6	859/6920	0.028533140568694968	2	3	1.0	CDC11, SMC2, TAH18
GO:0017076	MF	e	purine nucleotide binding	3/6	867/6920	0.02925592925039247	5	3	1.0	CDC11, SMC2, TAH18
GO:0017111	MF	e	ribonucleoside triphosphate phosphatase activity	2/6	329/6920	0.029766367824236206	6	2	1.0	CDC11, SMC2
GO:0050660	MF	e	flavin adenine dinucleotide binding	1/6	35/6920	0.029976372690587585	5	1	1.0	TAH18
GO:0003899	MF	e	DNA-directed RNA polymerase activity	1/6	37/6920	0.03166643169294847	7	1	1.0	RPO26
GO:0034062	MF	e	5'-3' RNA polymerase activity	1/6	39/6920	0.03335403617675202	6	1	1.0	RPO26
GO:0097747	MF	e	RNA polymerase activity	1/6	40/6920	0.0341969188657419	5	1	1.0	RPO26
GO:0016462	MF	e	pyrophosphatase activity	2/6	365/6920	0.036132594216706795	5	2	1.0	CDC11, SMC2
GO:0016817	MF	e	hydrolase activity, acting on acid anhydrides	2/6	367/6920	0.03650143511219718	3	2	1.0	CDC11, SMC2
GO:0016818	MF	e	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	2/6	367/6920	0.03650143511219718	4	2	1.0	CDC11, SMC2
GO:0000166	MF	e	nucleotide binding	3/6	942/6920	0.036548917411817206	4	3	1.0	CDC11, SMC2, TAH18
GO:1901265	MF	e	nucleoside phosphate binding	3/6	943/6920	0.03665250998084009	2	3	1.0	CDC11, SMC2, TAH18
GO:0043168	MF	e	anion binding	3/6	975/6920	0.040056366307798255	4	3	1.0	CDC11, SMC2, TAH18
GO:1901363	MF	e	heterocyclic compound binding	3/6	993/6920	0.04204699019732165	3	3	1.0	CDC11, SMC2, TAH18
GO:1901981	MF	e	phosphatidylinositol phosphate binding	1/6	69/6920	0.058375495091360335	5	1	1.0	CDC11
GO:0035091	MF	e	phosphatidylinositol binding	1/6	86/6920	0.07231309309910944	4	1	1.0	CDC11
GO:0003924	MF	e	GTPase activity	1/6	89/6920	0.07475473017804644	7	1	1.0	CDC11
GO:0032561	MF	e	guanyl ribonucleotide binding	1/6	115/6920	0.09569216603434302	7	1	1.0	CDC11
GO:0019001	MF	e	guanyl nucleotide binding	1/6	115/6920	0.09569216603434302	6	1	1.0	CDC11
GO:0005525	MF	e	GTP binding	1/6	115/6920	0.09569216603434302	8	1	1.0	CDC11
GO:0005543	MF	e	phospholipid binding	1/6	120/6920	0.09967297220310206	3	1	1.0	CDC11
GO:0003677	MF	e	DNA binding	2/6	676/6920	0.10967167681000614	3	2	1.0	RPO26, SMC2
GO:0016779	MF	e	nucleotidyltransferase activity	1/6	143/6920	0.11779711761623927	4	1	1.0	RPO26
GO:0008289	MF	e	lipid binding	1/6	157/6920	0.1286795799916248	2	1	1.0	CDC11
GO:0003682	MF	e	chromatin binding	1/6	157/6920	0.1286795799916248	2	1	1.0	SMC2
GO:0030554	MF	e	adenyl nucleotide binding	2/6	764/6920	0.1352421292234848	6	2	1.0	SMC2, TAH18
GO:0035639	MF	e	purine ribonucleoside triphosphate binding	2/6	822/6920	0.15295125390117312	5	2	1.0	CDC11, SMC2
GO:0032555	MF	e	purine ribonucleotide binding	2/6	825/6920	0.1538838627446869	6	2	1.0	CDC11, SMC2
GO:0043167	MF	e	ion binding	3/6	1741/6920	0.1718709406382775	3	3	1.0	CDC11, SMC2, TAH18
GO:0003676	MF	e	nucleic acid binding	3/6	1751/6920	0.17417847314796553	2	3	1.0	RPL4A, RPO26, SMC2
GO:0036094	MF	e	small molecule binding	3/6	1796/6920	0.184721876805948	2	3	1.0	CDC11, SMC2, TAH18
GO:0003735	MF	e	structural constituent of ribosome	1/6	235/6920	0.18728403333742324	2	1	1.0	RPL4A
GO:0016887	MF	e	ATP hydrolysis activity	1/6	238/6920	0.1894707119268061	7	1	1.0	SMC2
GO:0003824	MF	e	catalytic activity	4/6	2580/6920	0.2044732535447492	1	4	1.0	CDC11, RPO26, SMC2, TAH18
GO:0016787	MF	e	hydrolase activity	2/6	1006/6920	0.21265823142473003	2	2	1.0	CDC11, SMC2
GO:0005488	MF	e	binding	5/6	3679/6920	0.22417539733551134	1	5	1.0	CDC11, RPL4A, RPO26, SMC2, TAH18
GO:0003690	MF	e	double-stranded DNA binding	1/6	302/6920	0.23496548624038963	4	1	1.0	SMC2
GO:0016491	MF	e	oxidoreductase activity	1/6	333/6920	0.25622462274679264	2	1	1.0	TAH18
GO:0140098	MF	e	catalytic activity, acting on RNA	1/6	351/6920	0.2683410726759458	3	1	1.0	RPO26
GO:0016772	MF	e	transferase activity, transferring phosphorus-containing groups	1/6	421/6920	0.31390913138961624	3	1	1.0	RPO26
GO:0140640	MF	e	catalytic activity, acting on a nucleic acid	1/6	545/6920	0.3888271635383633	2	1	1.0	RPO26
GO:0060090	MF	e	molecular adaptor activity	1/6	607/6920	0.42364826674498185	1	1	1.0	CDC11
GO:0005524	MF	e	ATP binding	1/6	719/6920	0.48236383991695264	8	1	1.0	SMC2
GO:0032559	MF	e	adenyl ribonucleotide binding	1/6	722/6920	0.48386520073365874	7	1	1.0	SMC2
GO:0005515	MF	e	protein binding	1/6	807/6920	0.5249214072372482	2	1	1.0	TAH18
GO:0016740	MF	e	transferase activity	1/6	1029/6920	1.0	2	1	1.0	RPO26
GO:0003674	MF	e	molecular_function	6/6	6800/6920	1.0	0	6	1.0	CDC11, RPL4A, RPO26, SEC26, SMC2, TAH18
GO:0003723	MF	e	RNA binding	1/6	1124/6920	1.0	3	1	1.0	RPL4A
GO:0043169	MF	p	cation binding	0/6	996/6920	0.6027557545203426	4	0	1.0	
