# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0043708	BP	e	cell adhesion involved in biofilm formation	1/3	4/6920	0.001733352230834812	4	1	1.0	SDS3
GO:0043709	BP	e	cell adhesion involved in single-species biofilm formation	1/3	4/6920	0.001733352230834812	5	1	1.0	SDS3
GO:0031589	BP	e	cell-substrate adhesion	1/3	6/6920	0.0025992767119871357	3	1	1.0	SDS3
GO:0010468	BP	e	regulation of gene expression	3/3	953/6920	0.0026048359869655416	7	3	1.0	CBC2, RSC58, SDS3
GO:0010556	BP	e	regulation of macromolecule biosynthetic process	3/3	982/6920	0.002850208219139201	6	3	1.0	CBC2, RSC58, SDS3
GO:0009889	BP	e	regulation of biosynthetic process	3/3	1020/6920	0.0031944209911713636	5	3	1.0	CBC2, RSC58, SDS3
GO:0061188	BP	e	negative regulation of rDNA heterochromatin formation	1/3	8/6920	0.003464700296848474	10	1	1.0	SDS3
GO:0045292	BP	e	mRNA cis splicing, via spliceosome	1/3	9/6920	0.003897224298455745	10	1	1.0	CBC2
GO:0061187	BP	e	regulation of rDNA heterochromatin formation	1/3	9/6920	0.003897224298455745	9	1	1.0	SDS3
GO:0006338	BP	e	chromatin remodeling	2/3	259/6920	0.004083193820770618	5	2	1.0	RSC58, SDS3
GO:0060255	BP	e	regulation of macromolecule metabolic process	3/3	1107/6920	0.004084463722928849	5	3	1.0	CBC2, RSC58, SDS3
GO:0061186	BP	e	negative regulation of silent mating-type cassette heterochromatin formation	1/3	11/6920	0.0047618968105949296	10	1	1.0	SDS3
GO:0010629	BP	e	negative regulation of gene expression	2/3	287/6920	0.005001786898428365	8	2	1.0	CBC2, SDS3
GO:0019222	BP	e	regulation of metabolic process	3/3	1196/6920	0.0051519712282272175	4	3	1.0	CBC2, RSC58, SDS3
GO:0090054	BP	e	regulation of silent mating-type cassette heterochromatin formation	1/3	13/6920	0.005626068788728887	9	1	1.0	SDS3
GO:0031452	BP	e	negative regulation of heterochromatin formation	1/3	14/6920	0.006057967122829627	9	1	1.0	SDS3
GO:0006325	BP	e	chromatin organization	2/3	324/6920	0.006353742651112167	4	2	1.0	RSC58, SDS3
GO:1905268	BP	e	negative regulation of chromatin organization	1/3	16/6920	0.006921388571670071	6	1	1.0	SDS3
GO:0031445	BP	e	regulation of heterochromatin formation	1/3	17/6920	0.007352911722638346	8	1	1.0	SDS3
GO:2000217	BP	e	regulation of invasive growth in response to glucose limitation	1/3	19/6920	0.008215582968242456	7	1	1.0	SDS3
GO:0007155	BP	e	cell adhesion	1/3	19/6920	0.008215582968242456	2	1	1.0	SDS3
GO:0006337	BP	e	nucleosome disassembly	1/3	21/6920	0.009077754259498557	7	1	1.0	RSC58
GO:0032986	BP	e	protein-DNA complex disassembly	1/3	22/6920	0.009508652467531823	6	1	1.0	RSC58
GO:1902275	BP	e	regulation of chromatin organization	1/3	24/6920	0.01037007409898023	5	1	1.0	SDS3
GO:0010558	BP	e	negative regulation of macromolecule biosynthetic process	2/3	444/6920	0.01179925482905778	7	2	1.0	CBC2, SDS3
GO:0000184	BP	e	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	1/3	30/6920	0.012951342020609163	11	1	1.0	CBC2
GO:0009890	BP	e	negative regulation of biosynthetic process	2/3	471/6920	0.013243560989591403	6	2	1.0	CBC2, SDS3
GO:0006357	BP	e	regulation of transcription by RNA polymerase II	2/3	487/6920	0.01413674261951143	10	2	1.0	RSC58, SDS3
GO:0010605	BP	e	negative regulation of macromolecule metabolic process	2/3	492/6920	0.014421523499566883	6	2	1.0	CBC2, SDS3
GO:0050794	BP	e	regulation of cellular process	3/3	1728/6920	0.01555059047430706	3	3	1.0	CBC2, RSC58, SDS3
GO:0070784	BP	e	regulation of growth of unicellular organism as a thread of attached cells	1/3	37/6920	0.015957143622735474	6	1	1.0	SDS3
