Complex_ID,Proteins,Size,Prediction_Score
Complex_1,YBR288C;YGR261C;YJL024C;YPL195W,4,0.9951696991920471
Complex_2,YAL035W;YBR079C;YDR091C;YDR429C;YLR192C;YMR146C;YMR309C;YOR361C;YPR041W,9,0.9908596873283386
Complex_3,YDL014W;YEL026W;YLR197W;YOR310C,4,0.9824199676513672
Complex_4,YBR175W;YOR250C;YPL094C,3,0.8265568614006042
Complex_5,YGL213C;YLR398C;YPR189W,3,0.9442952275276184
Complex_6,YLR197W;YOR078W;YPR137W,3,0.9917205572128296
Complex_7,YBL046W;YDR075W;YNL201C,3,0.861348569393158
Complex_8,YGR081C;YLL021W;YMR308C;YPL020C,4,0.9094440340995789
Complex_9,YDL040C;YHR013C;YOR253W,3,0.9996780157089233
Complex_10,YEL003W;YGR078C;YLR200W;YML094W;YNL153C,5,0.996594250202179
Complex_11,YDR289C;YGL246C;YOR048C,3,0.9821006655693054
Complex_12,YER082C;YGR090W;YPR112C,3,0.9876663684844971
Complex_13,YCR020C-A;YEL053C;YPR051W,3,0.9373151659965515
Complex_14,YHR052W;YHR085W;YKL172W,3,0.9746877551078796
Complex_15,YDR405W;YLR212C;YPL093W,3,0.8997448086738586
Complex_16,YGL133W;YOL086C;YOR304W,3,0.8718619346618652
Complex_17,YCR052W;YDR190C;YER092W;YNL081C;YNL312W,5,0.8434358239173889
Complex_18,YCR057C;YDR449C;YJL069C;YLR129W;YLR222C;YLR409C,6,0.9916587471961975
Complex_19,YBR253W;YBR282W;YGL098W,3,0.7908196449279785
Complex_20,YGR220C;YMR237W;YOR061W,3,0.8597527146339417
Complex_21,YCR092C;YDR097C;YMR167W;YNL082W;YOL090W,5,0.9243881702423096
Complex_22,YGL049C;YGR162W;YOR276W,3,0.9784010648727417
Complex_23,YDR101C;YER006W;YER126C;YGR245C;YKL009W;YKR081C;YLR449W;YNL061W;YNR053C;YPL093W;YPL211W;YPR016C,12,0.964219331741333
Complex_24,YCR002C;YHR107C;YJR076C;YLR314C,4,0.9628261923789978
Complex_25,YAL047C;YGR240C;YHR172W;YLR212C;YNL126W,5,0.8621025681495667
Complex_26,YGL019W;YIL035C;YOR039W;YOR061W,4,0.991050124168396
Complex_27,YCR057C;YDR324C;YDR449C;YER082C;YGL171W;YGR090W;YGR128C;YHR196W;YJL069C;YJL109C;YLR129W;YLR222C;YLR409C;YMR093W;YOR145C;YOR310C;YPL126W;YPR112C;YPR137W,19,0.930816650390625
Complex_28,YDR324C;YGR128C;YHR196W;YJL109C;YMR093W;YPL126W,6,0.9854773879051208
Complex_29,YBR079C;YDR429C;YLR192C;YMR012W;YMR146C;YMR309C;YOR361C,7,0.8191801309585571
Complex_30,YCL031C;YGL019W;YGR090W;YIL035C;YOR039W;YOR061W,6,0.9592121839523315
Complex_31,YDL014W;YLR197W;YOR310C,3,0.9765373468399048
Complex_32,YFL002C;YLR212C;YNL002C;YOR310C,4,0.9904040098190308
Complex_33,YBR143C;YDR296W;YOL144W,3,0.9659786820411682
Complex_34,YEL002C;YGL022W;YJL002C;YMR149W,4,0.9931801557540894
Complex_35,YBR247C;YCL059C;YDL148C;YDR449C;YER082C;YGL171W;YGR090W;YGR145W;YLR129W;YNL132W;YPR144C,11,0.9354223012924194
Complex_36,YCR092C;YNL082W;YOL090W,3,0.9879658818244934
Complex_37,YBR288C;YGR261C;YPL195W,3,0.8044971227645874
Complex_38,YGL098W;YGL145W;YLR440C;YNL258C;YOR075W,5,0.9265191555023193
Complex_39,YDR324C;YEL055C;YGR128C;YHR196W;YJL109C;YMR093W;YPL126W,7,0.9864640235900879
Complex_40,YGR078C;YLR200W;YNL153C,3,0.9994211196899414
Complex_41,YDR211W;YGR103W;YJR006W,3,0.8897387385368347
Complex_42,YDL145C;YDR238C;YER122C;YFR051C;YGL137W;YIL076W;YNL287W;YPL010W,8,0.9628693461418152
Complex_43,YJR041C;YKL014C;YOL144W,3,0.9998588562011719
Complex_44,YGL145W;YLR440C;YNL258C,3,0.9906671643257141
Complex_45,YEL003W;YFL023W;YGR078C;YJL179W;YLR200W;YML094W;YNL153C,7,0.9524005651473999
Complex_46,YCL059C;YDL148C;YGR145W;YLR186W;YNL132W;YPR144C,6,0.9743218421936035
Complex_47,YDR060W;YFL002C;YHR052W;YOL077C;YOR206W;YOR272W;YPL043W,7,0.9981344938278198
Complex_48,YHR085W;YHR197W;YNL182C,3,0.9677703380584717
Complex_49,YDR060W;YDR496C;YMR049C;YOL077C;YOR206W;YPL043W,6,0.9986866116523743
Complex_50,YGL049C;YGR162W;YJL138C;YOL139C,4,0.9874421954154968
Complex_51,YHR172W;YLR212C;YNL126W,3,0.979010820388794
Complex_52,YER165W;YGR162W;YOL139C,3,0.9791891574859619
Complex_53,YDR060W;YER126C;YGR103W;YLR002C;YLR221C;YOR206W;YPL093W,7,0.947443425655365
Complex_54,YCR002C;YDL225W;YHR107C;YJR076C;YLR314C,5,0.9954308271408081
Complex_55,YCR072C;YER006W;YER126C;YGR245C;YHR197W;YKR081C;YLR074C;YNL182C;YNR053C;YPL093W,10,0.9594002366065979
Complex_56,YEL003W;YGR078C;YJL179W;YLR200W;YML094W;YNL153C,6,0.9927598237991333
Complex_57,YDR245W;YEL036C;YJL183W;YJR075W;YPL050C,5,0.9979787468910217
Complex_58,YGL105W;YGL245W;YGR264C,3,0.9706653952598572
Complex_59,YIL070C;YJR140C;YPL153C,3,0.8623948693275452
Complex_60,YBR195C;YML102W;YPR018W,3,0.9959269165992737
Complex_61,YDR324C;YDR398W;YGR128C;YHR196W;YJL109C;YMR093W;YPL126W,7,0.9946944117546082
Complex_62,YDR121W;YNL262W;YPR175W,3,0.999755322933197
Complex_63,YDL047W;YGR013W;YJL098W,3,0.9565262794494629
Complex_64,YGR103W;YMR049C;YOR272W,3,0.9868683815002441
Complex_65,YBR142W;YDR060W;YLR221C;YLR276C;YNL002C;YOR272W;YPL043W,7,0.967663586139679
