Complex_ID,Complex_Size,Complex_Score,Complex_Overlap_Score,Protein_ID,Protein_Name
Complex_1,5,0.9982,1.0,356,YGR200C
Complex_1,5,0.9982,1.0,594,YLR384C
Complex_1,5,0.9982,1.0,835,YPL086C
Complex_1,5,0.9982,1.0,675,YMR312W
Complex_1,5,0.9982,1.0,839,YPL101W
Complex_2,4,0.9976,1.0,253,YER157W
Complex_2,4,0.9976,1.0,681,YNL041C
Complex_2,4,0.9976,1.0,626,YML071C
Complex_2,4,0.9976,1.0,342,YGR120C
Complex_3,3,0.9944,1.0,268,YFR002W
Complex_3,3,0.9944,1.0,341,YGR119C
Complex_3,3,0.9944,1.0,310,YGL172W
Complex_4,11,0.993,1.0,713,YNL232W
Complex_4,11,0.993,1.0,736,YNR024W
Complex_4,11,0.993,1.0,768,YOR001W
Complex_4,11,0.993,1.0,747,YOL021C
Complex_4,11,0.993,1.0,337,YGR095C
Complex_4,11,0.993,1.0,392,YHR081W
Complex_4,11,0.993,1.0,347,YGR158C
Complex_4,11,0.993,1.0,84,YCR035C
Complex_4,11,0.993,1.0,120,YDL111C
Complex_4,11,0.993,1.0,355,YGR195W
Complex_4,11,0.993,1.0,177,YDR280W
Complex_5,7,0.9919,1.0,125,YDL145C
Complex_5,7,0.9919,1.0,171,YDR238C
Complex_5,7,0.9919,1.0,726,YNL287W
Complex_5,7,0.9919,1.0,425,YIL076W
Complex_5,7,0.9919,1.0,821,YPL010W
Complex_5,7,0.9919,1.0,278,YFR051C
Complex_5,7,0.9919,1.0,245,YER122C
Complex_6,7,0.9875,0.0238,222,YEL022W
Complex_6,7,0.9875,0.0238,385,YHR020W
Complex_6,7,0.9875,0.0238,484,YJR077C
Complex_6,7,0.9875,0.0238,359,YGR218W
Complex_6,7,0.9875,0.0238,555,YLR180W
Complex_6,7,0.9875,0.0238,637,YMR012W
Complex_6,7,0.9875,0.0238,35,YBR017C
Complex_7,19,0.9871,0.5307,123,YDL140C
Complex_7,19,0.9871,0.5307,288,YGL070C
Complex_7,19,0.9871,0.5307,320,YGR005C
Complex_7,19,0.9871,0.5307,419,YIL021W
Complex_7,19,0.9871,0.5307,744,YOL005C
Complex_7,19,0.9871,0.5307,788,YOR151C
Complex_7,19,0.9871,0.5307,284,YGL043W
Complex_7,19,0.9871,0.5307,54,YBR154C
Complex_7,19,0.9871,0.5307,798,YOR210W
Complex_7,19,0.9871,0.5307,897,YPR187W
Complex_7,19,0.9871,0.5307,800,YOR224C
Complex_7,19,0.9871,0.5307,866,YPR010C
Complex_7,19,0.9871,0.5307,327,YGR063C
Complex_7,19,0.9871,0.5307,547,YLR106C
Complex_7,19,0.9871,0.5307,842,YPL129W
Complex_7,19,0.9871,0.5307,637,YMR012W
Complex_7,19,0.9871,0.5307,555,YLR180W
Complex_7,19,0.9871,0.5307,461,YJL140W
Complex_7,19,0.9871,0.5307,783,YOR133W
Complex_8,8,0.9867,0.375,153,YDR121W
Complex_8,8,0.9867,0.375,304,YGL133W
Complex_8,8,0.9867,0.375,812,YOR304W
Complex_8,8,0.9867,0.375,271,YFR013W
Complex_8,8,0.9867,0.375,781,YOR116C
Complex_8,8,0.9867,0.375,64,YBR245C
Complex_8,8,0.9867,0.375,276,YFR037C
Complex_8,8,0.9867,0.375,432,YIL126W
Complex_9,8,0.9845,0.375,64,YBR245C
Complex_9,8,0.9845,0.375,271,YFR013W
Complex_9,8,0.9845,0.375,304,YGL133W
Complex_9,8,0.9845,0.375,812,YOR304W
Complex_9,8,0.9845,0.375,153,YDR121W
Complex_9,8,0.9845,0.375,276,YFR037C
Complex_9,8,0.9845,0.375,432,YIL126W
Complex_9,8,0.9845,0.375,797,YOR207C
Complex_10,34,0.9842,0.5882,54,YBR154C
Complex_10,34,0.9842,0.5882,897,YPR187W
Complex_10,34,0.9842,0.5882,800,YOR224C
Complex_10,34,0.9842,0.5882,798,YOR210W
Complex_10,34,0.9842,0.5882,696,YNL113W
Complex_10,34,0.9842,0.5882,884,YPR110C
Complex_10,34,0.9842,0.5882,480,YJR063W
Complex_10,34,0.9842,0.5882,817,YOR340C
Complex_10,34,0.9842,0.5882,866,YPR010C
Complex_10,34,0.9842,0.5882,818,YOR341W
Complex_10,34,0.9842,0.5882,717,YNL248C
Complex_10,34,0.9842,0.5882,320,YGR005C
