Complex_ID,Complex_Size,Complex_Score,Complex_Overlap_Score,Protein_ID,Protein_Name,CC_Enriched_Terms,CC_Min_Pvalue,CC_Significant,BP_Enriched_Terms,BP_Min_Pvalue,BP_Significant,MF_Enriched_Terms,MF_Min_Pvalue,MF_Significant,Total_Enriched_Terms,Overall_Min_Pvalue,Overall_Significant
Complex_1,5,0.9982,1.0,356,YGR200C,3,4.29e-14,True,12,4.95e-09,True,1,4.59e-05,True,16,4.29e-14,True
Complex_1,5,0.9982,1.0,594,YLR384C,3,4.29e-14,True,12,4.95e-09,True,1,4.59e-05,True,16,4.29e-14,True
Complex_1,5,0.9982,1.0,835,YPL086C,3,4.29e-14,True,12,4.95e-09,True,1,4.59e-05,True,16,4.29e-14,True
Complex_1,5,0.9982,1.0,675,YMR312W,3,4.29e-14,True,12,4.95e-09,True,1,4.59e-05,True,16,4.29e-14,True
Complex_1,5,0.9982,1.0,839,YPL101W,3,4.29e-14,True,12,4.95e-09,True,1,4.59e-05,True,16,4.29e-14,True
Complex_2,4,0.9976,1.0,253,YER157W,5,6.93e-10,True,24,1.97e-06,True,0,1.0,False,29,6.93e-10,True
Complex_2,4,0.9976,1.0,681,YNL041C,5,6.93e-10,True,24,1.97e-06,True,0,1.0,False,29,6.93e-10,True
Complex_2,4,0.9976,1.0,626,YML071C,5,6.93e-10,True,24,1.97e-06,True,0,1.0,False,29,6.93e-10,True
Complex_2,4,0.9976,1.0,342,YGR120C,5,6.93e-10,True,24,1.97e-06,True,0,1.0,False,29,6.93e-10,True
Complex_3,3,0.9944,1.0,268,YFR002W,3,2.96e-04,True,15,0.001583,True,1,1.71e-04,True,19,1.71e-04,True
Complex_3,3,0.9944,1.0,341,YGR119C,3,2.96e-04,True,15,0.001583,True,1,1.71e-04,True,19,1.71e-04,True
Complex_3,3,0.9944,1.0,310,YGL172W,3,2.96e-04,True,15,0.001583,True,1,1.71e-04,True,19,1.71e-04,True
Complex_4,11,0.993,1.0,713,YNL232W,11,4.31e-26,True,70,3.37e-27,True,4,5.15e-06,True,85,3.37e-27,True
Complex_4,11,0.993,1.0,736,YNR024W,11,4.31e-26,True,70,3.37e-27,True,4,5.15e-06,True,85,3.37e-27,True
Complex_4,11,0.993,1.0,768,YOR001W,11,4.31e-26,True,70,3.37e-27,True,4,5.15e-06,True,85,3.37e-27,True
Complex_4,11,0.993,1.0,747,YOL021C,11,4.31e-26,True,70,3.37e-27,True,4,5.15e-06,True,85,3.37e-27,True
Complex_4,11,0.993,1.0,337,YGR095C,11,4.31e-26,True,70,3.37e-27,True,4,5.15e-06,True,85,3.37e-27,True
Complex_4,11,0.993,1.0,392,YHR081W,11,4.31e-26,True,70,3.37e-27,True,4,5.15e-06,True,85,3.37e-27,True
Complex_4,11,0.993,1.0,347,YGR158C,11,4.31e-26,True,70,3.37e-27,True,4,5.15e-06,True,85,3.37e-27,True
Complex_4,11,0.993,1.0,84,YCR035C,11,4.31e-26,True,70,3.37e-27,True,4,5.15e-06,True,85,3.37e-27,True
Complex_4,11,0.993,1.0,120,YDL111C,11,4.31e-26,True,70,3.37e-27,True,4,5.15e-06,True,85,3.37e-27,True
Complex_4,11,0.993,1.0,355,YGR195W,11,4.31e-26,True,70,3.37e-27,True,4,5.15e-06,True,85,3.37e-27,True
Complex_4,11,0.993,1.0,177,YDR280W,11,4.31e-26,True,70,3.37e-27,True,4,5.15e-06,True,85,3.37e-27,True
Complex_5,7,0.9919,1.0,125,YDL145C,18,5.03e-20,True,21,4.89e-10,True,0,0.709974,False,39,5.03e-20,True
Complex_5,7,0.9919,1.0,171,YDR238C,18,5.03e-20,True,21,4.89e-10,True,0,0.709974,False,39,5.03e-20,True
Complex_5,7,0.9919,1.0,726,YNL287W,18,5.03e-20,True,21,4.89e-10,True,0,0.709974,False,39,5.03e-20,True
Complex_5,7,0.9919,1.0,425,YIL076W,18,5.03e-20,True,21,4.89e-10,True,0,0.709974,False,39,5.03e-20,True
Complex_5,7,0.9919,1.0,821,YPL010W,18,5.03e-20,True,21,4.89e-10,True,0,0.709974,False,39,5.03e-20,True
Complex_5,7,0.9919,1.0,278,YFR051C,18,5.03e-20,True,21,4.89e-10,True,0,0.709974,False,39,5.03e-20,True
Complex_5,7,0.9919,1.0,245,YER122C,18,5.03e-20,True,21,4.89e-10,True,0,0.709974,False,39,5.03e-20,True
Complex_6,19,0.9871,0.5307,123,YDL140C,21,3.61e-22,True,29,4.05e-22,True,22,2.28e-22,True,72,2.28e-22,True
Complex_6,19,0.9871,0.5307,288,YGL070C,21,3.61e-22,True,29,4.05e-22,True,22,2.28e-22,True,72,2.28e-22,True
Complex_6,19,0.9871,0.5307,320,YGR005C,21,3.61e-22,True,29,4.05e-22,True,22,2.28e-22,True,72,2.28e-22,True
Complex_6,19,0.9871,0.5307,419,YIL021W,21,3.61e-22,True,29,4.05e-22,True,22,2.28e-22,True,72,2.28e-22,True
Complex_6,19,0.9871,0.5307,744,YOL005C,21,3.61e-22,True,29,4.05e-22,True,22,2.28e-22,True,72,2.28e-22,True
Complex_6,19,0.9871,0.5307,788,YOR151C,21,3.61e-22,True,29,4.05e-22,True,22,2.28e-22,True,72,2.28e-22,True
Complex_6,19,0.9871,0.5307,284,YGL043W,21,3.61e-22,True,29,4.05e-22,True,22,2.28e-22,True,72,2.28e-22,True
Complex_6,19,0.9871,0.5307,54,YBR154C,21,3.61e-22,True,29,4.05e-22,True,22,2.28e-22,True,72,2.28e-22,True
Complex_6,19,0.9871,0.5307,798,YOR210W,21,3.61e-22,True,29,4.05e-22,True,22,2.28e-22,True,72,2.28e-22,True
Complex_6,19,0.9871,0.5307,897,YPR187W,21,3.61e-22,True,29,4.05e-22,True,22,2.28e-22,True,72,2.28e-22,True
Complex_6,19,0.9871,0.5307,800,YOR224C,21,3.61e-22,True,29,4.05e-22,True,22,2.28e-22,True,72,2.28e-22,True
Complex_6,19,0.9871,0.5307,866,YPR010C,21,3.61e-22,True,29,4.05e-22,True,22,2.28e-22,True,72,2.28e-22,True
Complex_6,19,0.9871,0.5307,327,YGR063C,21,3.61e-22,True,29,4.05e-22,True,22,2.28e-22,True,72,2.28e-22,True
Complex_6,19,0.9871,0.5307,547,YLR106C,21,3.61e-22,True,29,4.05e-22,True,22,2.28e-22,True,72,2.28e-22,True
Complex_6,19,0.9871,0.5307,842,YPL129W,21,3.61e-22,True,29,4.05e-22,True,22,2.28e-22,True,72,2.28e-22,True
Complex_6,19,0.9871,0.5307,637,YMR012W,21,3.61e-22,True,29,4.05e-22,True,22,2.28e-22,True,72,2.28e-22,True
Complex_6,19,0.9871,0.5307,555,YLR180W,21,3.61e-22,True,29,4.05e-22,True,22,2.28e-22,True,72,2.28e-22,True
Complex_6,19,0.9871,0.5307,461,YJL140W,21,3.61e-22,True,29,4.05e-22,True,22,2.28e-22,True,72,2.28e-22,True
Complex_6,19,0.9871,0.5307,783,YOR133W,21,3.61e-22,True,29,4.05e-22,True,22,2.28e-22,True,72,2.28e-22,True
Complex_7,34,0.9842,0.5882,54,YBR154C,22,8.88e-66,True,31,8.39e-45,True,18,1.85e-63,True,71,8.88e-66,True
Complex_7,34,0.9842,0.5882,897,YPR187W,22,8.88e-66,True,31,8.39e-45,True,18,1.85e-63,True,71,8.88e-66,True
Complex_7,34,0.9842,0.5882,800,YOR224C,22,8.88e-66,True,31,8.39e-45,True,18,1.85e-63,True,71,8.88e-66,True
Complex_7,34,0.9842,0.5882,798,YOR210W,22,8.88e-66,True,31,8.39e-45,True,18,1.85e-63,True,71,8.88e-66,True
Complex_7,34,0.9842,0.5882,696,YNL113W,22,8.88e-66,True,31,8.39e-45,True,18,1.85e-63,True,71,8.88e-66,True
