Complex_ID,Size,Score,Overlap_Score,Protein_Names,Protein_IDs
Complex_1,4,0.9633,1.0,YBR060C;YNL096C;YOL090W;YNL258C,40;691;757;719
Complex_2,3,0.9428,1.0,YDR041W;YOR016C;YGL049C,140;769;286
Complex_3,7,0.9405,0.2286,YKL181W;YGL246C;YHR064C;YOR179C;YDR016C;YNL151C;YMR290C,514;318;391;792;138;702;670
Complex_4,3,0.9379,0.75,YLR449W;YNL096C;YNL258C,611;691;719
Complex_5,3,0.9327,0.75,YGR158C;YHR216W;YOR254C,347;418;805
Complex_6,6,0.9221,0.8571,YDR240C;YDR296W;YOR204W;YGR027C;YIL094C;YHR062C,172;181;795;323;428;390
Complex_7,6,0.9129,0.6667,YBR031W;YML062C;YPL020C;YMR033W;YDR322W;YAL033W,37;621;825;639;186;5
Complex_8,3,0.9124,1.0,YDR201W;YMR078C;YPL153C,165;645;846
Complex_9,3,0.9118,0.75,YGR159C;YLR330W;YJR123W,348;585;490
Complex_10,3,0.9113,0.75,YIR003W;YLR330W;YJR123W,438;585;490
Complex_11,7,0.9089,0.2286,YNR024W;YHR064C;YOR179C;YGL246C;YDR016C;YNL151C;YMR290C,736;391;792;318;138;702;670
Complex_12,3,0.908,1.0,YJL011C;YNL284C;YJL148W,445;725;462
