Complex_ID,Size,Score,Overlap_Score,Protein_Names,CC_Enriched_Terms,CC_Min_Pvalue,CC_Significant,BP_Enriched_Terms,BP_Min_Pvalue,BP_Significant,MF_Enriched_Terms,MF_Min_Pvalue,MF_Significant,Total_Enriched_Terms,Overall_Min_Pvalue,Overall_Significant
Complex_1,5,0.9982,1.0,YGR200C;YLR384C;YPL086C;YMR312W;YPL101W,3,4.29e-14,True,12,4.95e-09,True,1,4.59e-05,True,16,4.29e-14,True
Complex_2,4,0.9976,1.0,YER157W;YNL041C;YML071C;YGR120C,5,6.93e-10,True,24,1.97e-06,True,0,1.0,False,29,6.93e-10,True
Complex_3,3,0.9944,1.0,YFR002W;YGR119C;YGL172W,3,2.96e-04,True,15,0.001583,True,1,1.71e-04,True,19,1.71e-04,True
Complex_4,11,0.993,1.0,YNL232W;YNR024W;YOR001W;YOL021C;YGR095C;YHR081W;YGR158C;YCR035C;YDL111C;YGR195W;YDR280W,11,4.31e-26,True,70,3.37e-27,True,4,5.15e-06,True,85,3.37e-27,True
Complex_5,7,0.9919,1.0,YDL145C;YDR238C;YNL287W;YIL076W;YPL010W;YFR051C;YER122C,18,5.03e-20,True,21,4.89e-10,True,0,0.709974,False,39,5.03e-20,True
Complex_6,19,0.9871,0.5307,YDL140C;YGL070C;YGR005C;YIL021W;YOL005C;YOR151C;YGL043W;YBR154C;YOR210W;YPR187W;YOR224C;YPR010C;YGR063C;YLR106C;YPL129W;YMR012W;YLR180W;YJL140W;YOR133W,21,3.61e-22,True,29,4.05e-22,True,22,2.28e-22,True,72,2.28e-22,True
Complex_7,34,0.9842,0.5882,YBR154C;YPR187W;YOR224C;YOR210W;YNL113W;YPR110C;YJR063W;YOR340C;YPR010C;YOR341W;YNL248C;YGR005C;YIL021W;YGL070C;YGR063C;YNL151C;YOR116C;YPR190C;YOR151C;YHR143W-A;YDL140C;YKL144C;YKR025W;YPL129W;YDR045C;YDR156W;YJL148W;YOL005C;YDR211W;YOR207C;YDL150W;YJL011C;YGL245W;YJL140W,22,8.88e-66,True,31,8.39e-45,True,18,1.85e-63,True,71,8.88e-66,True
Complex_8,4,0.9813,1.0,YDR013W;YJL072C;YOL146W;YDR489W,5,9.90e-12,True,10,7.18e-07,True,0,1.0,False,15,9.90e-12,True
Complex_9,3,0.9777,1.0,YDR295C;YPR179C;YNL021W,2,1.71e-08,True,6,5.75e-04,True,5,1.31e-05,True,13,1.71e-08,True
Complex_10,3,0.9738,1.0,YDL102W;YJR006W;YJR043C,6,1.71e-08,True,16,1.66e-06,True,15,7.73e-06,True,37,1.71e-08,True
Complex_11,5,0.9724,0.6,YDL143W;YOR281C;YIL142W;YKL029C;YGL195W,2,0.008861,True,0,0.345653,False,0,0.348774,False,2,0.008861,True
Complex_12,13,0.9688,0.0154,YGR218W;YHR020W;YLR180W;YMR012W;YEL022W;YGR240C;YLR106C;YJR077C;YOR151C;YFR009W;YGL195W;YDR502C;YLR075W,6,0.017033,True,1,0.044779,True,1,0.008429,True,8,0.008429,True
Complex_13,14,0.9675,0.7857,YBR253W;YHR041C;YHR058C;YNL236W;YGL151W;YOL135C;YPL042C;YDR308C;YCR081W;YNR010W;YOR174W;YGR252W;YGL112C;YDR448W,15,1.03e-22,True,41,1.72e-12,True,8,3.35e-18,True,64,1.03e-22,True
Complex_14,6,0.9664,1.0,YAL033W;YHR062C;YNL282W;YBL018C;YNL221C;YDR478W,11,1.43e-15,True,35,1.75e-11,True,13,2.96e-11,True,59,1.43e-15,True
Complex_15,22,0.965,0.5,YBR253W;YHR041C;YHR058C;YNL236W;YGL151W;YOL135C;YDR448W;YGR252W;YPL254W;YMR223W;YPL042C;YMR236W;YDR308C;YNR010W;YDR167W;YHR099W;YGL112C;YCR081W;YDR145W;YBR081C;YOR174W;YGR274C,24,7.03e-20,True,49,8.47e-13,True,16,1.46e-18,True,89,7.03e-20,True
Complex_16,15,0.9649,0.6722,YHR041C;YNL236W;YHR099W;YDR448W;YMR223W;YMR236W;YDR145W;YPL254W;YDR167W;YGL112C;YBR081C;YGR252W;YGR274C;YER148W;YMR005W,18,3.28e-22,True,32,3.08e-12,True,22,4.54e-09,True,72,3.28e-22,True
Complex_17,15,0.9649,0.6722,YDR145W;YGL112C;YMR005W;YDR167W;YMR236W;YGR274C;YPL254W;YGR252W;YMR223W;YNL236W;YHR041C;YHR099W;YDR448W;YBR081C;YER148W,18,3.28e-22,True,32,3.08e-12,True,22,4.54e-09,True,72,3.28e-22,True
Complex_18,24,0.9636,0.2042,YKL029C;YLR106C;YMR012W;YLR180W;YEL022W;YNL002C;YNR053C;YDR101C;YER006W;YGR245C;YML124C;YNL182C;YHR197W;YLL008W;YPL093W;YHR085W;YOR151C;YGR103W;YHR052W;YCR072C;YER086W;YDL143W;YGL195W;YFR009W,9,1.07e-08,True,30,6.16e-11,True,0,0.090954,False,39,6.16e-11,True
Complex_19,9,0.963,0.0234,YEL022W;YHR020W;YJR077C;YGR218W;YLR180W;YMR012W;YBR017C;YER110C;YLR342W,0,0.124038,False,0,0.320268,False,3,0.001093,True,3,0.001093,True
Complex_20,42,0.9617,0.2401,YLR106C;YLR180W;YOR151C;YMR012W;YHR020W;YBR154C;YOR210W;YPR010C;YGR005C;YIL021W;YOR224C;YGL070C;YNR053C;YPR187W;YGR063C;YNL002C;YKL029C;YGR245C;YDR101C;YNL182C;YPL129W;YML124C;YHR085W;YDL140C;YHR197W;YER006W;YOL005C;YGL195W;YCR072C;YGR103W;YGL043W;YLL008W;YPL093W;YGR218W;YHR052W;YDR502C;YJL140W;YGR240C;YEL022W;YFR009W;YLR075W;YOR133W,30,5.70e-18,True,56,6.41e-18,True,22,3.61e-18,True,108,3.61e-18,True
