File Name	Fitness Score	Protein Count	Interaction Count
collins_1	0.8028169014084507	637	2483
collins_2	0.8026992287917738	647	2594
collins_3	0.8021373056994818	637	2410
collins_4	0.8019607843137255	628	2169
collins_5	0.8019278606965174	660	2522
collins_6	0.8011363636363636	662	2463
collins_7	0.8005874673629243	631	2529
collins_8	0.8005082592121983	645	2319
collins_9	0.8005050505050505	651	2314
collins_10	0.8002496878901373	662	2299
collins_11	0.8000645994832042	630	2420
collins_12	0.7995978552278821	591	2387
collins_13	0.7995767835550182	692	2458
collins_14	0.7995689655172413	671	2277
collins_15	0.7993333333333333	613	2320
collins_16	0.7987261146496816	651	2449
collins_17	0.7986842105263158	624	2209
collins_18	0.7985312899106003	646	2368
collins_19	0.7985218508997429	631	2386
collins_20	0.7984790874524715	646	2511
collins_21	0.7983770287141073	648	2159
collins_22	0.7983460559796438	643	2138
collins_23	0.7978374836173001	620	2183
collins_24	0.7978177150192555	639	2295
collins_25	0.7976932668329177	653	2215
collins_26	0.7976653696498055	626	2247
collins_27	0.7973918575063613	644	2223
collins_28	0.7973316391359594	645	2269
collins_29	0.7967557251908397	643	2370
collins_30	0.7965186074429772	681	2602
