T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12
YNR066C	1	0	1	1	0	0	1	1	1	0	1	1
YGR062C	1	1	0	0	0	0	0	0	1	1	1	1
YGL068W	1	1	0	0	0	0	0	0	1	1	1	1
YNL003C	1	1	1	1	1	1	0	0	0	0	0	1
YBR230C	1	1	1	1	1	1	1	0	0	0	0	0
YOR096W	0	0	1	1	0	1	1	1	1	1	1	1
YOL036W	0	1	1	1	1	1	1	1	1	0	0	0
YKL181W	1	0	1	0	1	1	1	1	1	1	1	1
YHR204W	1	0	0	0	0	1	1	1	1	1	1	1
YLR366W	0	1	1	1	1	1	1	0	1	0	1	1
YJL054W	1	1	0	0	0	0	0	1	1	1	1	1
YLR189C	1	1	1	1	1	1	1	1	0	0	0	1
YGL241W	0	1	0	1	1	1	0	0	1	1	1	1
YKR092C	1	1	1	1	1	1	1	1	1	1	1	1
YGL026C	1	0	0	0	1	1	1	1	1	0	1	1
YMR234W	0	1	0	1	1	0	1	1	1	1	1	1
YJR097W	0	0	0	0	1	1	1	1	1	1	1	1
YER089C	1	0	0	1	0	1	1	1	1	1	1	1
YJR080C	1	1	1	0	0	0	0	0	1	1	1	1
YOR311C	0	0	1	1	1	1	1	1	1	1	1	1
YJL199C	1	1	1	1	1	1	1	0	0	0	0	0
YOR025W	1	1	1	1	1	1	0	0	0	0	1	1
YBL101C	1	1	1	1	1	1	1	1	0	0	0	0
YNL134C	0	0	1	1	1	1	1	1	0	0	1	1
YPR152C	1	1	1	1	1	1	1	1	0	0	0	0
YNL239W	1	1	1	1	1	1	1	1	0	0	0	0
YLR050C	1	1	0	1	1	0	1	0	1	1	1	1
YMR127C	0	0	0	0	1	0	1	1	1	1	1	1
YPR055W	1	1	1	1	1	1	1	0	0	0	1	1
YOL042W	1	1	0	1	0	1	0	1	1	1	1	1
YFL028C	1	0	1	0	0	0	1	1	1	1	1	1
YPR111W	1	1	1	1	1	1	1	1	0	0	0	1
YLL005C	1	0	1	1	1	1	0	1	1	1	0	0
YEL022W	1	0	0	0	1	0	1	1	1	1	1	1
YDR446W	1	1	1	1	0	0	1	1	1	0	0	0
YBR267W	0	0	1	1	1	1	1	1	1	1	1	1
YOR321W	1	0	1	1	0	1	1	0	1	1	1	1
YLR033W	1	1	1	0	0	1	0	1	1	0	1	1
YPR030W	1	1	1	1	1	1	1	0	1	1	0	1
YNL242W	1	1	1	1	1	1	1	0	1	1	0	0
YNR043W	1	1	1	1	0	0	0	1	1	0	1	1
YOR109W	1	1	1	1	1	0	1	0	1	1	1	0
YBL051C	0	1	1	1	1	1	0	0	1	1	0	1
YNL230C	0	1	1	1	1	1	1	1	1	0	0	0
YIL139C	1	1	1	1	1	1	0	1	0	0	1	0
YLR205C	1	1	1	1	1	1	1	0	0	0	0	1
YDR263C	1	1	1	0	0	0	0	0	1	1	1	1
YNL259C	1	1	1	1	1	1	0	0	0	0	1	1
YIL050W	1	1	0	1	0	0	1	1	0	1	1	1
YBR081C	0	1	1	1	0	1	1	0	1	1	1	1
YNL175C	1	0	0	1	1	1	1	1	1	1	1	1
YMR021C	1	1	0	0	1	1	1	1	1	0	0	1
YMR116C	1	0	0	0	0	1	1	1	1	1	1	1
YOR219C	1	1	1	1	1	1	1	0	0	1	0	0
YHR084W	1	0	0	0	1	0	1	1	1	1	1	1
YER066W	1	1	1	1	1	1	1	1	1	1	0	0
YEL051W	1	1	0	1	1	1	1	1	1	1	0	0
YHR156C	1	0	0	1	1	1	1	1	1	0	1	0
YGR094W	1	0	0	0	0	0	1	1	1	1	1	1
YER095W	1	1	1	1	1	1	1	0	0	1	0	0
YCR033W	1	1	1	0	1	0	1	0	1	0	0	1
YLR116W	0	0	1	1	1	1	1	1	1	0	0	0
YNL281W	0	0	0	1	1	1	1	1	1	1	1	1
YGR155W	1	0	0	1	0	0	1	1	1	1	1	1
YCL042W	1	1	1	1	1	1	1	0	1	0	0	0
YKL103C	1	1	1	1	1	1	1	1	0	0	0	0
YJL122W	0	0	1	1	1	1	1	1	1	1	1	1
YER180C	0	1	0	1	1	1	1	1	1	0	1	1
YOR250C	1	0	0	1	1	0	1	0	1	1	1	1
YIL010W	1	1	1	1	1	0	1	1	0	1	1	0
YML117W	1	1	1	1	1	1	1	0	1	0	1	0
YDR514C	0	1	1	0	0	0	0	1	1	1	1	1
YDR482C	1	1	0	0	0	0	0	1	1	1	1	1
YLR138W	1	1	1	1	1	1	1	1	1	1	0	1
YDR527W	0	1	1	1	1	1	1	1	1	1	1	1
YMR250W	0	1	1	1	1	1	1	1	0	0	0	0
YBR040W	0	1	1	0	1	1	1	1	0	0	1	1
YGL075C	1	1	0	1	1	1	1	0	0	1	0	0
YGL230C	1	0	0	1	1	0	0	0	1	1	1	1
YLR141W	1	1	1	1	1	1	1	1	0	0	0	0
YJR009C	1	1	1	1	1	1	1	1	0	0	1	0
YDL056W	0	0	1	1	0	1	0	1	1	1	1	1
YLR441C	0	0	0	1	1	1	0	1	1	1	1	1
YGL128C	1	1	0	1	0	1	1	1	0	1	1	0
YMR322C	0	1	1	1	1	1	1	1	0	0	0	0
YDL144C	1	1	1	1	1	1	1	1	0	1	0	0
YJL146W	1	0	1	1	1	1	1	1	1	0	0	0
