T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12
YGL123W	1	0	0	0	0	0	1	1	1	1	1	1
YOR096W	0	0	1	1	0	1	1	1	1	1	1	1
YKL181W	1	0	1	0	1	1	1	1	1	1	1	1
YHR204W	1	0	0	0	0	1	1	1	1	1	1	1
YGL241W	0	1	0	1	1	1	0	0	1	1	1	1
YER089C	1	0	0	1	0	1	1	1	1	1	1	1
YPR055W	1	1	1	1	1	1	1	0	0	0	1	1
YFL028C	1	0	1	0	0	0	1	1	1	1	1	1
YEL022W	1	0	0	0	1	0	1	1	1	1	1	1
YBR267W	0	0	1	1	1	1	1	1	1	1	1	1
YLR033W	1	1	1	0	0	1	0	1	1	0	1	1
YNL242W	1	1	1	1	1	1	1	0	1	1	0	0
YIL050W	1	1	0	1	0	0	1	1	0	1	1	1
YBR081C	0	1	1	1	0	1	1	0	1	1	1	1
YMR116C	1	0	0	0	0	1	1	1	1	1	1	1
YBR189W	0	0	1	1	0	1	1	1	1	1	1	1
YHR084W	1	0	0	0	1	0	1	1	1	1	1	1
YEL051W	1	1	0	1	1	1	1	1	1	1	0	0
YHR156C	1	0	0	1	1	1	1	1	1	0	1	0
YCR033W	1	1	1	0	1	0	1	0	1	0	0	1
YLR116W	0	0	1	1	1	1	1	1	1	0	0	0
YOR250C	1	0	0	1	1	0	1	0	1	1	1	1
YML117W	1	1	1	1	1	1	1	0	1	0	1	0
YLR029C	1	0	0	0	1	1	1	1	1	1	1	1
YJR009C	1	1	1	1	1	1	1	1	0	0	1	0
YDL056W	0	0	1	1	0	1	0	1	1	1	1	1
YLR441C	0	0	0	1	1	1	0	1	1	1	1	1
YGL128C	1	1	0	1	0	1	1	1	0	1	1	0
YJL146W	1	0	1	1	1	1	1	1	1	0	0	0
YER131W	1	0	0	0	0	1	1	1	1	1	1	1
YML010W	1	1	1	1	1	1	1	1	1	0	0	0
YKL074C	0	1	1	1	1	1	1	1	1	0	0	0
YNL061W	0	0	1	1	1	1	1	1	1	1	1	1
YBL002W	1	1	1	0	0	0	0	0	1	1	1	1
YPR102C	1	0	1	1	0	1	1	1	1	1	1	1
YHR110W	1	1	1	1	1	1	1	0	0	1	1	0
YJL154C	0	1	1	1	1	1	1	1	0	0	0	0
YFR010W	0	0	1	1	1	1	1	0	0	1	1	1
YPL151C	0	1	1	1	1	1	1	1	1	0	0	0
YKR027W	1	1	1	1	1	0	0	0	1	1	1	1
YOR076C	1	1	1	1	1	1	1	1	1	0	0	0
YLR180W	1	0	0	0	0	0	0	1	1	1	1	1
YGR145W	1	0	0	1	1	1	1	1	1	1	1	1
YML016C	1	1	1	0	1	1	0	0	1	1	1	1
YHL020C	1	1	1	1	1	1	1	1	0	0	1	1
YDR214W	0	1	1	1	1	1	1	1	0	1	0	0
YGR167W	1	1	1	1	0	1	0	0	1	1	1	1
YOR353C	0	1	1	1	1	1	0	0	1	1	1	1
YGL147C	0	0	0	1	0	1	1	1	1	1	1	1
YCR079W	1	1	1	1	1	1	1	0	0	1	0	0
YNL005C	1	1	0	0	0	0	0	0	1	1	1	1
YPL066W	0	1	1	1	1	1	0	0	0	1	0	1
YIR010W	1	1	1	0	0	0	0	1	1	1	1	1
YMR135C	1	1	1	1	1	1	0	0	1	0	1	0
YJR067C	0	0	0	0	1	1	1	1	1	1	1	1
YDR322W	1	1	0	0	0	0	0	0	1	1	1	1
YML036W	1	0	1	0	0	0	0	1	1	1	1	1
YDL216C	0	1	1	1	1	1	1	0	0	0	1	1
YDL047W	1	0	1	1	1	0	0	1	1	1	1	1
