Complex_ID,Proteins,Size,Prediction_Score
Complex_1,YCR057C;YDR449C;YJL069C;YLR129W;YLR222C;YLR409C,6,0.8465519547462463
Complex_2,YCR035C;YDL111C;YDR280W;YGR095C;YGR195W;YHR069C;YOL021C,7,0.9195374250411987
Complex_3,YBR288C;YGR261C;YPL195W,3,0.9823123812675476
Complex_4,YDR289C;YGL246C;YOR048C,3,0.6120825409889221
Complex_5,YDL111C;YDR361C;YHR081W;YPR088C,4,0.6652411222457886
Complex_6,YBL035C;YIR008C;YKL045W;YNL102W,4,0.9993324875831604
Complex_7,YDR060W;YER126C;YGR103W;YLR002C;YLR221C;YOR206W;YPL093W,7,0.9472464323043823
Complex_8,YAL034W-A;YBR211C;YIR010W,3,0.9789838194847107
Complex_9,YEL003W;YFL023W;YGR078C;YJL179W;YLR200W;YML094W;YNL153C,7,0.9689325094223022
Complex_10,YDR060W;YDR496C;YMR049C;YOL077C;YOR206W;YPL043W,6,0.9714188575744629
Complex_11,YBL008W;YBR215W;YJR140C;YOR038C,4,0.9907252192497253
Complex_12,YCR035C;YDL111C;YDR280W;YGR095C;YGR158C;YGR195W;YHR069C;YHR081W;YNL232W;YOL021C;YOL142W;YOR001W,12,0.9284558892250061
Complex_13,YJR041C;YKL014C;YOL144W,3,0.7939454317092896
Complex_14,YBR171W;YLR292C;YOR254C;YPL094C,4,0.9011603593826294
Complex_15,YGL049C;YGR162W;YOR276W,3,0.9219173192977905
Complex_16,YDR324C;YGR128C;YHR196W;YJL109C;YMR093W;YPL126W,6,0.9381564855575562
Complex_17,YCL031C;YGL019W;YGR090W;YIL035C;YOR039W;YOR061W,6,0.9398999214172363
Complex_18,YEL003W;YGR078C;YJL179W;YLR200W;YML094W;YNL153C,6,0.9464454054832458
Complex_19,YHR052W;YHR085W;YKL172W,3,0.9629969000816345
Complex_20,YBR247C;YCL059C;YDL148C;YDR449C;YER082C;YGL171W;YGR090W;YGR145W;YLR129W;YNL132W;YPR144C,11,0.9204413294792175
Complex_21,YBR288C;YGR261C;YJL024C;YPL195W,4,0.8767828941345215
Complex_22,YDR295C;YNL021W;YPR179C,3,0.9797189235687256
Complex_23,YDL014W;YEL026W;YLR197W;YOR310C,4,0.9183394312858582
Complex_24,YHR085W;YHR197W;YNL182C,3,0.8231074810028076
Complex_25,YEL003W;YGR078C;YLR200W;YML094W;YNL153C,5,0.9816664457321167
Complex_26,YBR253W;YJR063W;YMR049C;YNL061W,4,0.5643916726112366
Complex_27,YDR211W;YGR083C;YKR026C;YLR291C;YOR260W,5,0.9916701316833496
Complex_28,YCL059C;YDL148C;YGR145W;YLR186W;YNL132W;YPR144C,6,0.9614754319190979
Complex_29,YMR263W;YNL330C;YOL004W,3,0.9066148400306702
Complex_30,YDR060W;YFL002C;YHR052W;YOL077C;YOR206W;YOR272W;YPL043W,7,0.9865157604217529
Complex_31,YER082C;YGR090W;YPR112C,3,0.9733659625053406
Complex_32,YBR195C;YML071C;YNL330C,3,0.8571564555168152
Complex_33,YKL009W;YNL081C;YOL077C,3,0.6870841979980469
Complex_34,YGL019W;YIL035C;YOR039W;YOR061W,4,0.95842444896698
Complex_35,YDL014W;YLR197W;YOR310C,3,0.9357378482818604
Complex_36,YDR101C;YER006W;YER126C;YGR245C;YKL009W;YKR081C;YLR449W;YNL061W;YNR053C;YPL093W;YPL211W;YPR016C,12,0.8513591885566711
Complex_37,YDR211W;YER025W;YGR083C;YKR026C;YLR291C;YOR260W,6,0.9135274887084961
Complex_38,YCR002C;YHR107C;YJR076C;YLR314C,4,0.9670151472091675
Complex_39,YDR324C;YDR398W;YGR128C;YHR196W;YJL109C;YMR093W;YPL126W,7,0.8538969159126282
Complex_40,YGR262C;YJL184W;YKR038C;YML036W,4,0.6359854936599731
Complex_41,YCL031C;YGR090W;YLR223C;YOR039W,4,0.9673713445663452
Complex_42,YER165W;YGR162W;YOL139C,3,0.8978713154792786
Complex_43,YCR072C;YER006W;YER126C;YGR245C;YHR197W;YKR081C;YLR074C;YNL182C;YNR053C;YPL093W,10,0.8669033646583557
Complex_44,YLR367W;YML127W;YNL330C,3,0.7231955528259277
Complex_45,YAL007C;YAR002C-A;YGL200C;YML012W,4,0.6028980612754822
Complex_46,YCR057C;YDR324C;YDR449C;YER082C;YGL171W;YGR090W;YGR128C;YHR196W;YJL069C;YJL109C;YLR129W;YLR222C;YLR409C;YMR093W;YOR145C;YOR310C;YPL126W;YPR112C;YPR137W,19,0.9036225080490112
Complex_47,YGR078C;YLR200W;YNL153C,3,0.9794169068336487
Complex_48,YGL049C;YGR162W;YJL138C;YOL139C,4,0.8602439761161804
Complex_49,YBR142W;YDR060W;YLR221C;YLR276C;YNL002C;YOR272W;YPL043W,7,0.8873950242996216
Complex_50,YGL145W;YLR440C;YNL258C,3,0.7706688046455383
Complex_51,YDR324C;YEL055C;YGR128C;YHR196W;YJL109C;YMR093W;YPL126W,7,0.947686493396759
Complex_52,YGR261C;YML024W;YPL211W,3,0.7564917206764221
Complex_53,YGR103W;YMR049C;YOR272W,3,0.963050365447998
Complex_54,YCR035C;YDL111C;YDR280W;YGR095C;YGR158C;YGR195W;YHR069C;YNL232W;YOL021C;YOL142W,10,0.9207019209861755
Complex_55,YCR002C;YDL225W;YHR107C;YJR076C;YLR314C,5,0.9584581851959229
