# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0007017	BP	e	microtubule-based process	9/14	102/6920	4.325006932175013e-14	2	9	1.9834481790954608e-10	ARP1, BIK1, CIK1, DYN1, JNM1, KAR3, NUF2, STU1, STU2
GO:1902850	BP	e	microtubule cytoskeleton organization involved in mitosis	7/14	40/6920	4.13385583059725e-13	7	7	9.478931419559495e-10	ARP1, BIK1, DYN1, JNM1, NUF2, STU1, STU2
GO:0007097	BP	e	nuclear migration	6/14	23/6920	1.9586380186836003e-12	5	6	2.2455784884207477e-09	ARP1, BIK1, CIK1, DYN1, JNM1, KAR3
GO:0051647	BP	e	nucleus localization	6/14	23/6920	1.9586380186836003e-12	3	6	2.2455784884207477e-09	ARP1, BIK1, CIK1, DYN1, JNM1, KAR3
GO:0022402	BP	e	cell cycle process	12/14	622/6920	1.9372747551770326e-11	2	12	1.6024902457931288e-08	AME1, ARP1, BIK1, DYN1, JNM1, KAR3, NDC80, NUF2, SPC19, SPC34, STU1, STU2
GO:0000226	BP	e	microtubule cytoskeleton organization	7/14	68/6920	2.0965855810638407e-11	6	7	1.6024902457931288e-08	ARP1, BIK1, DYN1, JNM1, NUF2, STU1, STU2
GO:0008608	BP	e	attachment of spindle microtubules to kinetochore	6/14	35/6920	3.1119922745107854e-11	3	6	2.0387995101294945e-08	AME1, NDC80, NUF2, SPC19, SPC34, STU1
GO:0000741	BP	e	karyogamy	5/14	22/6920	3.919597773002551e-10	6	5	2.2469094233737125e-07	BIK1, CIK1, DYN1, KAR3, KAR5
GO:0070507	BP	e	regulation of microtubule cytoskeleton organization	5/14	25/6920	7.882214464435315e-10	7	5	4.016426170433373e-07	BIK1, CIK1, KAR3, SPC19, SPC34
GO:0007052	BP	e	mitotic spindle organization	5/14	26/6920	9.748327989224586e-10	8	5	4.470583215858395e-07	DYN1, JNM1, NUF2, STU1, STU2
GO:0032886	BP	e	regulation of microtubule-based process	5/14	27/6920	1.1950855760887228e-09	4	5	4.982420410857165e-07	BIK1, CIK1, KAR3, SPC19, SPC34
GO:0051301	BP	e	cell division	8/14	224/6920	2.7050896730105993e-09	2	8	1.033795103368884e-06	AME1, BIK1, KAR3, NDC80, NUF2, SPC19, SPC34, STU1
GO:0007051	BP	e	spindle organization	5/14	37/6920	6.38297884605749e-09	7	5	2.251718537539973e-06	DYN1, JNM1, NUF2, STU1, STU2
GO:0051294	BP	e	establishment of spindle orientation	4/14	13/6920	7.41956414888816e-09	8	4	2.268408079120073e-06	ARP1, BIK1, DYN1, JNM1
GO:0000132	BP	e	establishment of mitotic spindle orientation	4/14	13/6920	7.41956414888816e-09	9	4	2.268408079120073e-06	ARP1, BIK1, DYN1, JNM1
GO:0000742	BP	e	karyogamy involved in conjugation with cellular fusion	4/14	15/6920	1.4131849463169228e-08	7	4	4.05054135238088e-06	BIK1, CIK1, KAR3, KAR5
GO:0007010	BP	e	cytoskeleton organization	7/14	183/6920	2.3681169292587285e-08	5	7	6.263235005934509e-06	ARP1, BIK1, DYN1, JNM1, NUF2, STU1, STU2
GO:0040001	BP	e	establishment of mitotic spindle localization	4/14	17/6920	2.4583129111823193e-08	8	4	6.263235005934509e-06	ARP1, BIK1, DYN1, JNM1
GO:0051656	BP	e	establishment of organelle localization	6/14	110/6920	3.809949536772193e-08	3	6	7.0452820567179225e-06	ARP1, BIK1, CIK1, DYN1, JNM1, KAR3
GO:1903047	BP	e	mitotic cell cycle process	8/14	315/6920	3.991869464442826e-08	3	8	7.0452820567179225e-06	ARP1, BIK1, DYN1, JNM1, NDC80, NUF2, STU1, STU2
GO:0030473	BP	e	nuclear migration along microtubule	4/14	19/6920	3.994272426399171e-08	8	4	7.0452820567179225e-06	BIK1, CIK1, DYN1, KAR3
GO:0099111	BP	e	microtubule-based transport	4/14	19/6920	3.994272426399171e-08	4	4	7.0452820567179225e-06	BIK1, CIK1, DYN1, KAR3
GO:0010970	BP	e	transport along microtubule	4/14	19/6920	3.994272426399171e-08	6	4	7.0452820567179225e-06	BIK1, CIK1, DYN1, KAR3
GO:0051653	BP	e	spindle localization	4/14	19/6920	3.994272426399171e-08	3	4	7.0452820567179225e-06	ARP1, BIK1, DYN1, JNM1
GO:0051293	BP	e	establishment of spindle localization	4/14	19/6920	3.994272426399171e-08	7	4	7.0452820567179225e-06	ARP1, BIK1, DYN1, JNM1
GO:0072384	BP	e	organelle transport along microtubule	4/14	19/6920	3.994272426399171e-08	7	4	7.0452820567179225e-06	BIK1, CIK1, DYN1, KAR3
GO:0007059	BP	e	chromosome segregation	6/14	113/6920	4.480767748442212e-08	3	6	7.610666997909623e-06	BIK1, DYN1, NDC80, NUF2, SPC19, SPC34
GO:0006997	BP	e	nucleus organization	5/14	57/6920	5.999171263068324e-08	5	5	9.825785504439763e-06	BIK1, CIK1, DYN1, KAR3, KAR5
GO:0007018	BP	e	microtubule-based movement	4/14	22/6920	7.512051140964133e-08	3	4	1.1483422177487171e-05	BIK1, CIK1, DYN1, KAR3
GO:0030705	BP	e	cytoskeleton-dependent intracellular transport	4/14	22/6920	7.512051140964133e-08	5	4	1.1483422177487171e-05	BIK1, CIK1, DYN1, KAR3
GO:0000743	BP	e	nuclear migration involved in conjugation with cellular fusion	3/14	6/6920	1.314007054045655e-07	9	3	1.9438826935010884e-05	BIK1, CIK1, KAR3
GO:0051493	BP	e	regulation of cytoskeleton organization	5/14	93/6920	7.159199547965342e-07	6	5	0.0001026002785217783	BIK1, CIK1, KAR3, SPC19, SPC34
GO:0006996	BP	e	organelle organization	10/14	900/6920	8.069369790880977e-07	4	10	0.00011213978745751565	ARP1, BIK1, CIK1, DYN1, JNM1, KAR3, KAR5, NUF2, STU1, STU2
GO:0048284	BP	e	organelle fusion	5/14	100/6920	1.0291934591161891e-06	5	5	0.0001388200353972601	BIK1, CIK1, DYN1, KAR3, KAR5
GO:0051640	BP	e	organelle localization	6/14	193/6920	1.0857748411405983e-06	2	6	0.00014226752632773667	ARP1, BIK1, CIK1, DYN1, JNM1, KAR3
