# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0007015	BP	e	actin filament organization	4/7	64/6920	2.2813388562645144e-07	5	4	0.0010462219994829063	MYO2, MYO3, MYO4, MYO5
GO:0097435	BP	e	supramolecular fiber organization	4/7	78/6920	5.096624752643522e-07	4	4	0.0011686560557811595	MYO2, MYO3, MYO4, MYO5
GO:0010256	BP	e	endomembrane system organization	2/7	2/6920	8.772025093004354e-07	4	2	0.0013409502358839322	MYO2, MYO4
GO:0051641	BP	e	cellular localization	7/7	1003/6920	1.3199868879772806e-06	2	7	0.0015133649670659522	MYO1, MYO2, MYO3, MYO4, MYO5, SMY1, SMY2
GO:0006897	BP	e	endocytosis	4/7	119/6920	2.7967456744307507e-06	5	4	0.0025651751325878845	MYO2, MYO3, MYO4, MYO5
GO:0098657	BP	e	import into cell	4/7	148/6920	6.69034016819628e-06	4	4	0.005113650001891356	MYO2, MYO3, MYO4, MYO5
GO:0016192	BP	e	vesicle-mediated transport	5/7	433/6920	1.773077088921457e-05	4	5	0.011616187899705432	MYO2, MYO3, MYO4, MYO5, SMY2
GO:2000601	BP	e	positive regulation of Arp2/3 complex-mediated actin nucleation	2/7	8/6920	2.449073920887229e-05	11	2	0.012479392223543146	MYO3, MYO5
GO:0006904	BP	e	vesicle docking involved in exocytosis	2/7	8/6920	2.449073920887229e-05	5	2	0.012479392223543146	MYO2, SMY1
GO:0051179	BP	e	localization	7/7	1575/6920	3.131417893179564e-05	1	7	0.013121345143300309	MYO1, MYO2, MYO3, MYO4, MYO5, SMY1, SMY2
GO:0051127	BP	e	positive regulation of actin nucleation	2/7	9/6920	3.147291682867497e-05	10	2	0.013121345143300309	MYO3, MYO5
GO:0022413	BP	e	reproductive process in single-celled organism	3/7	97/6920	8.972704032054537e-05	2	3	0.029968426576643736	MYO3, MYO4, MYO5
GO:0140029	BP	e	exocytic process	2/7	15/6920	9.153082285750749e-05	2	2	0.029968426576643736	MYO2, SMY1
GO:0034315	BP	e	regulation of Arp2/3 complex-mediated actin nucleation	2/7	15/6920	9.153082285750749e-05	10	2	0.029968426576643736	MYO3, MYO5
GO:0051666	BP	e	actin cortical patch localization	2/7	16/6920	0.00010455622006679018	3	2	0.029968426576643736	MYO3, MYO5
GO:0007121	BP	e	bipolar cellular bud site selection	2/7	16/6920	0.00010455622006679018	5	2	0.029968426576643736	MYO3, MYO5
GO:0051125	BP	e	regulation of actin nucleation	2/7	17/6920	0.00011843991498325853	9	2	0.031950908830189625	MYO3, MYO5
GO:1903047	BP	e	mitotic cell cycle process	4/7	315/6920	0.00013221931987217984	3	4	0.033686544496323155	MYO1, MYO2, MYO3, MYO5
GO:0030705	BP	e	cytoskeleton-dependent intracellular transport	2/7	22/6920	0.0002006890884306607	5	2	0.04844000839700052	MYO2, SMY1
