# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0016592	CC	e	mediator complex	25/25	27/6920	5.651327664242449e-69	3	25	5.340504642709115e-66	CSE2, GAL11, MED1, MED11, MED2, MED4, MED6, MED7, MED8, NUT1, NUT2, PGD1, RGR1, ROX3, SIN4, SOH1, SRB2, SRB4, SRB5, SRB6, SRB7, SRB8, SSN2, SSN3, SSN8
GO:0070847	CC	e	core mediator complex	20/25	20/6920	2.0954535123445695e-54	4	20	9.90101784582809e-52	CSE2, GAL11, MED1, MED11, MED2, MED4, MED6, MED7, MED8, NUT2, PGD1, RGR1, ROX3, SIN4, SOH1, SRB2, SRB4, SRB5, SRB6, SRB7
GO:0090575	CC	e	RNA polymerase II transcription regulator complex	20/25	74/6920	1.1888755425285502e-36	3	20	3.7449579589649332e-34	CSE2, GAL11, MED1, MED11, MED2, MED4, MED6, MED7, MED8, NUT2, PGD1, RGR1, ROX3, SIN4, SOH1, SRB2, SRB4, SRB5, SRB6, SRB7
GO:0005667	CC	e	transcription regulator complex	20/25	104/6920	2.52485207761619e-33	2	20	5.9649630333682485e-31	CSE2, GAL11, MED1, MED11, MED2, MED4, MED6, MED7, MED8, NUT2, PGD1, RGR1, ROX3, SIN4, SOH1, SRB2, SRB4, SRB5, SRB6, SRB7
GO:0140513	CC	e	nuclear protein-containing complex	25/25	707/6920	1.1620727768468905e-25	2	25	2.1963175482406232e-23	CSE2, GAL11, MED1, MED11, MED2, MED4, MED6, MED7, MED8, NUT1, NUT2, PGD1, RGR1, ROX3, SIN4, SOH1, SRB2, SRB4, SRB5, SRB6, SRB7, SRB8, SSN2, SSN3, SSN8
GO:0032991	CC	e	protein-containing complex	25/25	2176/6920	2.4978641907718385e-13	1	25	3.934136100465646e-11	CSE2, GAL11, MED1, MED11, MED2, MED4, MED6, MED7, MED8, NUT1, NUT2, PGD1, RGR1, ROX3, SIN4, SOH1, SRB2, SRB4, SRB5, SRB6, SRB7, SRB8, SSN2, SSN3, SSN8
GO:0005634	CC	e	nucleus	25/25	2331/6920	1.408198626102327e-12	5	25	1.9010681452381415e-10	CSE2, GAL11, MED1, MED11, MED2, MED4, MED6, MED7, MED8, NUT1, NUT2, PGD1, RGR1, ROX3, SIN4, SOH1, SRB2, SRB4, SRB5, SRB6, SRB7, SRB8, SSN2, SSN3, SSN8
GO:0043231	CC	e	intracellular membrane-bounded organelle	25/25	4449/6920	2.2935699943335052e-05	4	25	0.002174387087751626	CSE2, GAL11, MED1, MED11, MED2, MED4, MED6, MED7, MED8, NUT1, NUT2, PGD1, RGR1, ROX3, SIN4, SOH1, SRB2, SRB4, SRB5, SRB6, SRB7, SRB8, SSN2, SSN3, SSN8
GO:0043227	CC	e	membrane-bounded organelle	25/25	4451/6920	2.300938717197488e-05	3	25	0.002174387087751626	CSE2, GAL11, MED1, MED11, MED2, MED4, MED6, MED7, MED8, NUT1, NUT2, PGD1, RGR1, ROX3, SIN4, SOH1, SRB2, SRB4, SRB5, SRB6, SRB7, SRB8, SSN2, SSN3, SSN8
GO:0043229	CC	e	intracellular organelle	25/25	4857/6920	0.00022849268779409529	3	25	0.016777098564248645	CSE2, GAL11, MED1, MED11, MED2, MED4, MED6, MED7, MED8, NUT1, NUT2, PGD1, RGR1, ROX3, SIN4, SOH1, SRB2, SRB4, SRB5, SRB6, SRB7, SRB8, SSN2, SSN3, SSN8
GO:0043226	CC	e	organelle	25/25	4859/6920	0.00022877205908459474	2	25	0.016777098564248645	CSE2, GAL11, MED1, MED11, MED2, MED4, MED6, MED7, MED8, NUT1, NUT2, PGD1, RGR1, ROX3, SIN4, SOH1, SRB2, SRB4, SRB5, SRB6, SRB7, SRB8, SSN2, SSN3, SSN8
GO:0005737	CC	p	cytoplasm	0/25	2615/6920	9.56017664230507e-06	2	0	0.0011292958658722864	
GO:0016020	CC	p	membrane	0/25	2112/6920	0.00023079606490500782	2	0	0.016777098564248645	
