# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0003968	MF	e	RNA-directed RNA polymerase activity	12/14	12/6920	3.649636693458105e-36	7	12	9.441610125976117e-33	RPB10, RPB11, RPB2, RPB3, RPB4, RPB5, RPB7, RPB8, RPB9, RPC10, RPO21, RPO26
GO:0034062	MF	e	5'-3' RNA polymerase activity	12/14	39/6920	1.417018000371436e-26	6	12	1.7451630256547953e-23	RPB10, RPB11, RPB2, RPB3, RPB4, RPB5, RPB7, RPB8, RPB9, RPC10, RPO21, RPO26
GO:0097747	MF	e	RNA polymerase activity	12/14	40/6920	2.0237684874234194e-26	5	12	1.7451630256547953e-23	RPB10, RPB11, RPB2, RPB3, RPB4, RPB5, RPB7, RPB8, RPB9, RPC10, RPO21, RPO26
GO:0003899	MF	e	DNA-directed RNA polymerase activity	10/14	37/6920	4.986203447606149e-21	7	10	3.224827079739277e-18	RPB10, RPB11, RPB2, RPB3, RPB5, RPB8, RPB9, RPC10, RPO21, RPO26
GO:0016779	MF	e	nucleotidyltransferase activity	12/14	143/6920	3.346280699930214e-19	4	12	1.7313656341438928e-16	RPB10, RPB11, RPB2, RPB3, RPB4, RPB5, RPB7, RPB8, RPB9, RPC10, RPO21, RPO26
GO:0140098	MF	e	catalytic activity, acting on RNA	12/14	351/6920	2.0080164616865925e-14	3	12	8.657897643972025e-12	RPB10, RPB11, RPB2, RPB3, RPB4, RPB5, RPB7, RPB8, RPB9, RPC10, RPO21, RPO26
GO:0016772	MF	e	transferase activity, transferring phosphorus-containing groups	12/14	421/6920	1.802077672685269e-13	3	12	6.6599641989097e-11	RPB10, RPB11, RPB2, RPB3, RPB4, RPB5, RPB7, RPB8, RPB9, RPC10, RPO21, RPO26
GO:0003677	MF	e	DNA binding	13/14	676/6920	8.47200613819955e-13	3	13	2.73963498494028e-10	RPB10, RPB11, RPB2, RPB3, RPB4, RPB5, RPB7, RPB8, RPC10, RPO21, RPO26, SPT5, TFG2
GO:0140640	MF	e	catalytic activity, acting on a nucleic acid	12/14	545/6920	3.99519676862012e-12	2	12	1.14839711560225e-09	RPB10, RPB11, RPB2, RPB3, RPB4, RPB5, RPB7, RPB8, RPB9, RPC10, RPO21, RPO26
GO:0003676	MF	e	nucleic acid binding	14/14	1751/6920	4.242353883464576e-09	2	14	1.0974969496522858e-06	RPB10, RPB11, RPB2, RPB3, RPB4, RPB5, RPB7, RPB8, RPB9, RPC10, RPO21, RPO26, SPT5, TFG2
GO:0016740	MF	e	transferase activity	12/14	1029/6920	7.518377772362942e-09	2	12	1.768185754282085e-06	RPB10, RPB11, RPB2, RPB3, RPB4, RPB5, RPB7, RPB8, RPB9, RPC10, RPO21, RPO26
GO:0003727	MF	e	single-stranded RNA binding	3/14	34/6920	3.802230153902165e-05	4	3	0.008196974506787417	RPB4, RPB7, SPT5
GO:0005488	MF	e	binding	14/14	3679/6920	0.00016653210203533686	1	14	0.033139888305032034	RPB10, RPB11, RPB2, RPB3, RPB4, RPB5, RPB7, RPB8, RPB9, RPC10, RPO21, RPO26, SPT5, TFG2
