# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0005666	CC	e	RNA polymerase III complex	9/9	17/6920	2.4369880674505544e-25	8	9	2.3029537237407737e-22	RET1, RPC25, RPC31, RPC34, RPC37, RPC40, RPC53, RPC82, RPO31
GO:0055029	CC	e	nuclear DNA-directed RNA polymerase complex	9/9	36/6920	9.437517482133131e-22	7	9	3.8606361924217445e-19	RET1, RPC25, RPC31, RPC34, RPC37, RPC40, RPC53, RPC82, RPO31
GO:0030880	CC	e	RNA polymerase complex	9/9	38/6920	1.6341317216599979e-21	5	9	3.8606361924217445e-19	RET1, RPC25, RPC31, RPC34, RPC37, RPC40, RPC53, RPC82, RPO31
GO:0000428	CC	e	DNA-directed RNA polymerase complex	9/9	38/6920	1.6341317216599979e-21	6	9	3.8606361924217445e-19	RET1, RPC25, RPC31, RPC34, RPC37, RPC40, RPC53, RPC82, RPO31
GO:0061695	CC	e	transferase complex, transferring phosphorus-containing groups	9/9	135/6920	3.133196255724444e-16	4	9	5.9217409233192e-14	RET1, RPC25, RPC31, RPC34, RPC37, RPC40, RPC53, RPC82, RPO31
GO:0140535	CC	e	intracellular protein-containing complex	9/9	410/6920	8.278671864810464e-12	2	9	1.1176207017494125e-09	RET1, RPC25, RPC31, RPC34, RPC37, RPC40, RPC53, RPC82, RPO31
GO:1990234	CC	e	transferase complex	9/9	410/6920	8.278671864810464e-12	3	9	1.1176207017494125e-09	RET1, RPC25, RPC31, RPC34, RPC37, RPC40, RPC53, RPC82, RPO31
GO:0140513	CC	e	nuclear protein-containing complex	9/9	707/6920	1.1584491435959754e-09	2	9	1.3684180508727458e-07	RET1, RPC25, RPC31, RPC34, RPC37, RPC40, RPC53, RPC82, RPO31
GO:1902494	CC	e	catalytic complex	9/9	851/6920	6.197805497007607e-09	2	9	6.507695771857986e-07	RET1, RPC25, RPC31, RPC34, RPC37, RPC40, RPC53, RPC82, RPO31
GO:0032991	CC	e	protein-containing complex	9/9	2176/6920	2.9719468444215213e-05	1	9	0.0028084897679783376	RET1, RPC25, RPC31, RPC34, RPC37, RPC40, RPC53, RPC82, RPO31
GO:0005634	CC	e	nucleus	9/9	2331/6920	5.526758075095545e-05	5	9	0.0047479876190593545	RET1, RPC25, RPC31, RPC34, RPC37, RPC40, RPC53, RPC82, RPO31
