# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0006338	BP	e	chromatin remodeling	9/10	259/6920	1.2178453141356156e-12	5	9	5.585038610625933e-09	ARP7, ARP9, SNF12, SNF2, SNF5, SNF6, SWI1, SWI3, TAF14
GO:0006357	BP	e	regulation of transcription by RNA polymerase II	10/10	487/6920	2.7331328464894125e-12	10	10	6.267073617000223e-09	ARP7, ARP9, SNF11, SNF12, SNF2, SNF5, SNF6, SWI1, SWI3, TAF14
GO:0045944	BP	e	positive regulation of transcription by RNA polymerase II	9/10	311/6920	6.426690742113585e-12	11	9	9.8242679144443e-09	ARP7, ARP9, SNF11, SNF12, SNF2, SNF5, SNF6, SWI1, SWI3
GO:0006325	BP	e	chromatin organization	9/10	324/6920	9.31830276622435e-12	4	9	1.0683434121476217e-08	ARP7, ARP9, SNF12, SNF2, SNF5, SNF6, SWI1, SWI3, TAF14
GO:2001141	BP	e	regulation of RNA biosynthetic process	10/10	581/6920	1.620704099068885e-11	8	10	1.2226002654148875e-08	ARP7, ARP9, SNF11, SNF12, SNF2, SNF5, SNF6, SWI1, SWI3, TAF14
GO:0006355	BP	e	regulation of DNA-templated transcription	10/10	581/6920	1.620704099068885e-11	9	10	1.2226002654148875e-08	ARP7, ARP9, SNF11, SNF12, SNF2, SNF5, SNF6, SWI1, SWI3, TAF14
GO:0045893	BP	e	positive regulation of DNA-templated transcription	9/10	355/6920	2.1327523164673136e-11	10	9	1.2226002654148875e-08	ARP7, ARP9, SNF11, SNF12, SNF2, SNF5, SNF6, SWI1, SWI3
GO:1902680	BP	e	positive regulation of RNA biosynthetic process	9/10	355/6920	2.1327523164673136e-11	9	9	1.2226002654148875e-08	ARP7, ARP9, SNF11, SNF12, SNF2, SNF5, SNF6, SWI1, SWI3
GO:0051252	BP	e	regulation of RNA metabolic process	10/10	638/6920	4.1608884256397834e-11	7	10	2.120203813331561e-08	ARP7, ARP9, SNF11, SNF12, SNF2, SNF5, SNF6, SWI1, SWI3, TAF14
GO:0051254	BP	e	positive regulation of RNA metabolic process	9/10	391/6920	5.11041829890955e-11	8	9	2.3436378318799197e-08	ARP7, ARP9, SNF11, SNF12, SNF2, SNF5, SNF6, SWI1, SWI3
GO:0045935	BP	e	positive regulation of nucleobase-containing compound metabolic process	9/10	417/6920	9.142576714190437e-11	7	9	3.8116233464797584e-08	ARP7, ARP9, SNF11, SNF12, SNF2, SNF5, SNF6, SWI1, SWI3
GO:0010557	BP	e	positive regulation of macromolecule biosynthetic process	9/10	423/6920	1.0401308929128243e-10	7	9	3.9750335624151764e-08	ARP7, ARP9, SNF11, SNF12, SNF2, SNF5, SNF6, SWI1, SWI3
GO:0009891	BP	e	positive regulation of biosynthetic process	9/10	439/6920	1.4541624541529947e-10	6	9	4.93600821822992e-08	ARP7, ARP9, SNF11, SNF12, SNF2, SNF5, SNF6, SWI1, SWI3
