# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0060090	MF	e	molecular adaptor activity	15/18	607/6920	7.579608668128102e-14	1	15	1.96084476244474e-10	ADA2, CHD1, GCN5, HFI1, NGG1, SGF29, SPT20, SPT3, SPT8, TAF10, TAF12, TAF5, TAF6, TAF9, UBP8
GO:0003712	MF	e	transcription coregulator activity	9/18	92/6920	3.83971653949834e-13	3	9	4.966673343841103e-10	ADA2, GCN5, HFI1, NGG1, SPT20, SPT3, SPT8, TAF6, TAF9
GO:0030674	MF	e	protein-macromolecule adaptor activity	11/18	278/6920	8.972317341407434e-12	2	11	7.737128320740344e-09	ADA2, CHD1, GCN5, HFI1, NGG1, SGF29, SPT20, SPT3, SPT8, TAF6, TAF9
GO:0140110	MF	e	transcription regulator activity	9/18	273/6920	7.229316192158317e-09	1	9	4.600218281235048e-06	ADA2, GCN5, HFI1, NGG1, SPT20, SPT3, SPT8, TAF6, TAF9
GO:0046982	MF	e	protein heterodimerization activity	5/18	30/6920	8.891028761567547e-09	4	5	4.600218281235048e-06	SPT3, SPT7, TAF12, TAF6, TAF9
GO:0003682	MF	e	chromatin binding	7/18	157/6920	6.986037459310226e-08	2	7	2.7514601276477065e-05	ADA2, CHD1, TAF10, TAF12, TAF5, TAF6, TAF9
GO:0003713	MF	e	transcription coactivator activity	5/18	45/6920	7.445002278134498e-08	4	5	2.7514601276477065e-05	ADA2, HFI1, NGG1, TAF6, TAF9
GO:0016251	MF	e	RNA polymerase II general transcription initiation factor activity	4/18	21/6920	1.8662853149734515e-07	2	4	5.4615458096001506e-05	TAF10, TAF5, TAF6, TAF9
GO:0046983	MF	e	protein dimerization activity	5/18	54/6920	1.9000352642598127e-07	3	5	5.4615458096001506e-05	SPT3, SPT7, TAF12, TAF6, TAF9
GO:0004402	MF	e	histone acetyltransferase activity	4/18	31/6920	9.653723559374968e-07	9	4	0.0002497418284810304	GCN5, NGG1, SGF73, TRA1
GO:0061733	MF	e	protein-lysine-acetyltransferase activity	4/18	32/6920	1.1014934716280668e-06	8	4	0.00025905123737289174	GCN5, NGG1, SGF73, TRA1
GO:0140223	MF	e	general transcription initiation factor activity	4/18	34/6920	1.4159426598531844e-06	1	4	0.0003052536384200157	TAF10, TAF5, TAF6, TAF9
GO:0034212	MF	e	protein N-acetyltransferase activity	4/18	44/6920	4.077968845462284e-06	7	4	0.0008115158002469944	GCN5, NGG1, SGF73, TRA1
GO:0008080	MF	e	N-acetyltransferase activity	4/18	55/6920	1.0063856532814371e-05	6	4	0.0018596569178850554	GCN5, NGG1, SGF73, TRA1
GO:0140993	MF	e	histone modifying activity	4/18	57/6920	1.1618139166454793e-05	3	4	0.0019031528995291326	GCN5, NGG1, SGF73, TRA1
GO:0140006	MF	e	histone H3 reader activity	3/18	18/6920	1.1770562965777395e-05	5	3	0.0019031528995291326	CHD1, GCN5, SGF29
GO:0140463	MF	e	chromatin-protein adaptor activity	3/18	19/6920	1.3954807847749308e-05	3	3	0.0020056159945626368	CHD1, GCN5, SGF29
GO:0140566	MF	e	histone reader activity	3/18	19/6920	1.3954807847749308e-05	4	3	0.0020056159945626368	CHD1, GCN5, SGF29
GO:0016410	MF	e	N-acyltransferase activity	4/18	62/6920	1.6274684223363233e-05	5	4	0.002215926741360036	GCN5, NGG1, SGF73, TRA1
GO:0016407	MF	e	acetyltransferase activity	4/18	70/6920	2.6403994811364932e-05	5	4	0.0034153567288500537	GCN5, NGG1, SGF73, TRA1
GO:0140002	MF	e	histone H3K4me3 reader activity	2/18	10/6920	0.0002840697351163305	6	2	0.03499468594028319	CHD1, SGF29
GO:0016747	MF	e	acyltransferase activity, transferring groups other than amino-acyl groups	4/18	132/6920	0.00031452945744644257	4	4	0.036985804836997586	GCN5, NGG1, SGF73, TRA1
