# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0015252	MF	e	proton channel activity	5/5	18/6920	6.488703966735819e-14	7	5	8.393138580972782e-11	ATP1, ATP15, ATP16, ATP2, ATP3
GO:0046933	MF	e	proton-transporting ATP synthase activity, rotational mechanism	5/5	18/6920	6.488703966735819e-14	8	5	8.393138580972782e-11	ATP1, ATP15, ATP16, ATP2, ATP3
GO:0005261	MF	e	monoatomic cation channel activity	5/5	28/6920	7.442925138314614e-13	6	5	6.418282444273302e-10	ATP1, ATP15, ATP16, ATP2, ATP3
GO:0005216	MF	e	monoatomic ion channel activity	5/5	33/6920	1.7973891744271847e-12	5	5	1.1624614485607818e-09	ATP1, ATP15, ATP16, ATP2, ATP3
GO:0022803	MF	e	passive transmembrane transporter activity	5/5	47/6920	1.161680214055879e-11	3	5	5.008777856270931e-09	ATP1, ATP15, ATP16, ATP2, ATP3
GO:0015267	MF	e	channel activity	5/5	47/6920	1.161680214055879e-11	4	5	5.008777856270931e-09	ATP1, ATP15, ATP16, ATP2, ATP3
GO:0015078	MF	e	proton transmembrane transporter activity	5/5	107/6920	8.050943206141415e-10	5	5	2.97539858204112e-07	ATP1, ATP15, ATP16, ATP2, ATP3
GO:0016874	MF	e	ligase activity	5/5	132/6920	2.342531912865465e-09	2	5	7.575162573228698e-07	ATP1, ATP15, ATP16, ATP2, ATP3
GO:0022890	MF	e	inorganic cation transmembrane transporter activity	5/5	168/6920	7.95351107509789e-09	4	5	2.286192572364249e-06	ATP1, ATP15, ATP16, ATP2, ATP3
GO:0008324	MF	e	monoatomic cation transmembrane transporter activity	5/5	172/6920	8.959148227991149e-09	4	5	2.31773164658131e-06	ATP1, ATP15, ATP16, ATP2, ATP3
GO:0015075	MF	e	monoatomic ion transmembrane transporter activity	5/5	180/6920	1.1275316191302576e-08	3	5	2.651749362445433e-06	ATP1, ATP15, ATP16, ATP2, ATP3
GO:0015318	MF	e	inorganic molecular entity transmembrane transporter activity	5/5	195/6920	1.6897618596347992e-08	3	5	3.642844942396021e-06	ATP1, ATP15, ATP16, ATP2, ATP3
GO:0022857	MF	e	transmembrane transporter activity	5/5	416/6920	7.675139771476611e-07	2	5	0.00015273528145238454	ATP1, ATP15, ATP16, ATP2, ATP3
GO:0005215	MF	e	transporter activity	5/5	464/6920	1.3283024117574008e-06	1	5	0.0002454513099440283	ATP1, ATP15, ATP16, ATP2, ATP3
GO:0016887	MF	e	ATP hydrolysis activity	4/5	238/6920	6.642170961016878e-06	7	4	0.0011455530850767108	ATP1, ATP15, ATP16, ATP2
GO:0017111	MF	e	ribonucleoside triphosphate phosphatase activity	4/5	329/6920	2.4161042483845094e-05	6	4	0.003906538556606704	ATP1, ATP15, ATP16, ATP2
GO:0016462	MF	e	pyrophosphatase activity	4/5	365/6920	3.650957539958609e-05	5	4	0.005080151921198158	ATP1, ATP15, ATP16, ATP2
GO:0016817	MF	e	hydrolase activity, acting on acid anhydrides	4/5	367/6920	3.731074082055083e-05	3	4	0.005080151921198158	ATP1, ATP15, ATP16, ATP2
GO:0016818	MF	e	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	4/5	367/6920	3.731074082055083e-05	4	4	0.005080151921198158	ATP1, ATP15, ATP16, ATP2
GO:0044769	MF	e	ATPase activity, coupled to transmembrane movement of ions, rotational mechanism	2/5	20/6920	7.895369636944604e-05	7	2	0.009284236932170769	ATP2, ATP3
GO:0046961	MF	e	proton-transporting ATPase activity, rotational mechanism	2/5	20/6920	7.895369636944604e-05	8	2	0.009284236932170769	ATP2, ATP3
GO:0042625	MF	e	ATPase-coupled ion transmembrane transporter activity	2/5	20/6920	7.895369636944604e-05	6	2	0.009284236932170769	ATP2, ATP3
GO:0019829	MF	e	ATPase-coupled monoatomic cation transmembrane transporter activity	2/5	33/6920	0.000218583565168906	6	2	0.024585899264867817	ATP2, ATP3
