# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0007059	BP	e	chromosome segregation	9/10	113/6920	5.903704613525537e-16	3	9	2.707438935762811e-12	BIK1, CIN8, DUO1, IPL1, KIP1, NUF2, SLI15, SPC19, SPC34
GO:1902850	BP	e	microtubule cytoskeleton organization involved in mitosis	6/10	40/6920	5.207948033997992e-12	7	6	1.1941824841957396e-08	BIK1, CIN8, IPL1, KIP1, NUF2, STU2
GO:0022402	BP	e	cell cycle process	10/10	622/6920	3.2217152594726786e-11	2	10	4.9249287266472345e-08	BIK1, CIN8, DUO1, IPL1, KIP1, NUF2, SLI15, SPC19, SPC34, STU2
GO:0070507	BP	e	regulation of microtubule cytoskeleton organization	5/10	25/6920	1.001793575436854e-10	7	5	9.960581910334477e-08	BIK1, DUO1, IPL1, SPC19, SPC34
GO:0007052	BP	e	mitotic spindle organization	5/10	26/6920	1.2395668990971724e-10	8	5	9.960581910334477e-08	CIN8, IPL1, KIP1, NUF2, STU2
GO:0000226	BP	e	microtubule cytoskeleton organization	6/10	68/6920	1.4644771955009248e-10	6	6	9.960581910334477e-08	BIK1, CIN8, IPL1, KIP1, NUF2, STU2
GO:0032886	BP	e	regulation of microtubule-based process	5/10	27/6920	1.5203679322359646e-10	4	5	9.960581910334477e-08	BIK1, DUO1, IPL1, SPC19, SPC34
GO:0008608	BP	e	attachment of spindle microtubules to kinetochore	5/10	35/6920	6.084224656474846e-10	3	5	3.487781784324205e-07	DUO1, IPL1, NUF2, SPC19, SPC34
GO:0007051	BP	e	spindle organization	5/10	37/6920	8.159669251571455e-10	7	5	4.154946792882303e-07	CIN8, IPL1, KIP1, NUF2, STU2
GO:0007010	BP	e	cytoskeleton organization	7/10	183/6920	9.060067145404062e-10	5	7	4.154946792882303e-07	BIK1, CIN8, IPL1, KIP1, NUF2, SLI15, STU2
GO:0007017	BP	e	microtubule-based process	6/10	102/6920	1.7712673713694483e-09	2	6	7.384574695545717e-07	BIK1, CIN8, IPL1, KIP1, NUF2, STU2
GO:0098813	BP	e	nuclear chromosome segregation	5/10	47/6920	2.8540980045300204e-09	4	5	1.0512060425976318e-06	BIK1, CIN8, IPL1, KIP1, NUF2
GO:0031113	BP	e	regulation of microtubule polymerization	4/10	15/6920	2.97986885167231e-09	9	4	1.0512060425976318e-06	BIK1, DUO1, SPC19, SPC34
GO:0051301	BP	e	cell division	7/10	224/6920	3.750628605443497e-09	2	7	1.2285987703259912e-06	BIK1, CIN8, DUO1, KIP1, NUF2, SPC19, SPC34
GO:0031110	BP	e	regulation of microtubule polymerization or depolymerization	4/10	17/6920	5.188451645582695e-09	8	4	1.586282616442816e-06	BIK1, DUO1, SPC19, SPC34
GO:0051983	BP	e	regulation of chromosome segregation	5/10	56/6920	7.068637912342347e-09	6	5	2.0260483416251252e-06	CIN8, DUO1, IPL1, SPC19, SPC34
GO:0031109	BP	e	microtubule polymerization or depolymerization	3/10	7/6920	7.584927107001589e-08	7	3	2.0461456301593698e-05	CIN8, KIP1, STU2
GO:0000819	BP	e	sister chromatid segregation	4/10	33/6920	8.821917633856168e-08	6	4	2.247628570492466e-05	BIK1, CIN8, IPL1, KIP1
GO:0051493	BP	e	regulation of cytoskeleton organization	5/10	93/6920	9.403719168073763e-08	6	5	2.26976084762033e-05	BIK1, DUO1, IPL1, SPC19, SPC34
GO:0032271	BP	e	regulation of protein polymerization	4/10	35/6920	1.1272554225269499e-07	6	4	2.5847966838542964e-05	BIK1, DUO1, SPC19, SPC34
GO:0051987	BP	e	positive regulation of attachment of spindle microtubules to kinetochore	3/10	11/6920	3.564903857680457e-07	8	3	7.785070995867893e-05	DUO1, SPC19, SPC34
GO:0033043	BP	e	regulation of organelle organization	6/10	254/6920	4.28044326081049e-07	5	6	8.92277854276223e-05	BIK1, CIN8, DUO1, IPL1, SPC19, SPC34
GO:0051988	BP	e	regulation of attachment of spindle microtubules to kinetochore	3/10	12/6920	4.749595587772941e-07	6	3	9.075685568969461e-05	DUO1, SPC19, SPC34
GO:0000022	BP	e	mitotic spindle elongation	3/10	12/6920	4.749595587772941e-07	4	3	9.075685568969461e-05	BIK1, CIN8, KIP1
GO:0010564	BP	e	regulation of cell cycle process	6/10	261/6920	5.028913960813e-07	5	6	9.225039769715368e-05	CIN8, DUO1, IPL1, SLI15, SPC19, SPC34
GO:0031112	BP	e	positive regulation of microtubule polymerization or depolymerization	3/10	13/6920	6.16978510069157e-07	9	3	0.00010105226597061265	DUO1, SPC19, SPC34
GO:0031116	BP	e	positive regulation of microtubule polymerization	3/10	13/6920	6.16978510069157e-07	10	3	0.00010105226597061265	DUO1, SPC19, SPC34
GO:0051231	BP	e	spindle elongation	3/10	13/6920	6.16978510069157e-07	3	3	0.00010105226597061265	BIK1, CIN8, KIP1
GO:0051984	BP	e	positive regulation of chromosome segregation	3/10	14/6920	7.846489883833849e-07	7	3	0.0001199466753575401	DUO1, SPC19, SPC34
