# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0032160	CC	e	septin filament array	4/4	5/6920	5.237613986221396e-14	7	4	4.9495452169792187e-11	CDC10, CDC11, CDC12, CDC3
GO:0031105	CC	e	septin complex	4/4	8/6920	7.332659580709954e-13	2	4	3.4646816518854526e-10	CDC10, CDC11, CDC12, CDC3
GO:0015630	CC	e	microtubule cytoskeleton	4/4	14/6920	1.0485703200415235e-11	6	4	2.477247381098099e-09	CDC10, CDC11, CDC12, CDC3
GO:0000144	CC	e	cellular bud neck septin ring	4/4	14/6920	1.0485703200415235e-11	8	4	2.477247381098099e-09	CDC10, CDC11, CDC12, CDC3
GO:0005940	CC	e	septin ring	4/4	23/6920	9.275814369598093e-11	7	4	1.7531289158540397e-08	CDC10, CDC11, CDC12, CDC3
GO:0000399	CC	e	cellular bud neck septin structure	4/4	25/6920	1.325116338514013e-10	2	4	1.7889070569939176e-08	CDC10, CDC11, CDC12, CDC3
GO:0032161	CC	e	cleavage apparatus septin structure	4/4	25/6920	1.325116338514013e-10	2	4	1.7889070569939176e-08	CDC10, CDC11, CDC12, CDC3
GO:0032156	CC	e	septin cytoskeleton	4/4	31/6920	3.296030481529124e-10	6	4	3.893436006306277e-08	CDC10, CDC11, CDC12, CDC3
GO:0032153	CC	e	cell division site	4/4	33/6920	4.286463286323589e-10	2	4	4.500786450639768e-08	CDC10, CDC11, CDC12, CDC3
GO:0001400	CC	e	mating projection base	3/4	6/6920	1.4486716524489758e-09	2	3	1.3689947115642822e-07	CDC10, CDC11, CDC3
GO:0005628	CC	e	prospore membrane	4/4	74/6920	1.205306966101996e-08	3	4	1.0354682572421693e-06	CDC10, CDC11, CDC12, CDC3
GO:0005856	CC	e	cytoskeleton	4/4	188/6920	5.280029755566012e-07	5	4	4.1580234325082346e-05	CDC10, CDC11, CDC12, CDC3
GO:0005935	CC	e	cellular bud neck	4/4	201/6920	6.913477620550697e-07	3	4	5.025566424169545e-05	CDC10, CDC11, CDC12, CDC3
GO:0072687	CC	e	meiotic spindle	2/4	4/6920	1.503196104439918e-06	6	2	0.00010146573704969445	CDC10, CDC11
GO:0030427	CC	e	site of polarized growth	4/4	282/6920	2.7019039387999748e-06	2	4	0.0001702199481443984	CDC10, CDC11, CDC12, CDC3
GO:0005619	CC	e	ascospore wall	2/4	11/6920	1.3760710370788921e-05	5	2	0.0008127419562747206	CDC11, CDC3
GO:0031160	CC	e	spore wall	2/4	13/6920	1.950766147146669e-05	4	2	0.0010843964759138837	CDC11, CDC3
GO:0005876	CC	e	spindle microtubule	2/4	19/6920	4.2717308157132533e-05	7	2	0.0022426586782494577	CDC10, CDC11
GO:0005819	CC	e	spindle	2/4	44/6920	0.00023518032782836635	5	2	0.011697126831463484	CDC10, CDC11
GO:0005874	CC	e	microtubule	2/4	69/6920	0.0005804108380230695	6	2	0.027424412096590037	CDC10, CDC11
GO:0099513	CC	e	polymeric cytoskeletal fiber	2/4	78/6920	0.0007416600787872898	5	2	0.03337470354542804	CDC10, CDC11
GO:0099512	CC	e	supramolecular fiber	2/4	82/6920	0.0008195612213466999	4	2	0.033673276268375275	CDC10, CDC11
GO:0099081	CC	e	supramolecular polymer	2/4	82/6920	0.0008195612213466999	3	2	0.033673276268375275	CDC10, CDC11
GO:0043228	CC	e	membraneless organelle	4/4	1210/6920	0.0009309752108507786	3	4	0.035190862970159435	CDC10, CDC11, CDC12, CDC3
GO:0043232	CC	e	intracellular membraneless organelle	4/4	1210/6920	0.0009309752108507786	4	4	0.035190862970159435	CDC10, CDC11, CDC12, CDC3
