# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0006310	BP	e	DNA recombination	8/8	247/6920	2.3591037197113784e-12	7	8	1.081884965859638e-08	KRE29, MMS21, NSE1, NSE3, NSE4, NSE5, SMC5, SMC6
GO:0006281	BP	e	DNA repair	8/8	319/6920	1.8741848449100183e-11	7	8	4.2975058493786715e-08	KRE29, MMS21, NSE1, NSE3, NSE4, NSE5, SMC5, SMC6
GO:0006974	BP	e	DNA damage response	8/8	370/6920	6.214884645838223e-11	4	8	9.500486995271363e-08	KRE29, MMS21, NSE1, NSE3, NSE4, NSE5, SMC5, SMC6
GO:0006259	BP	e	DNA metabolic process	8/8	525/6920	1.0445039994078364e-09	6	8	1.1975238353210843e-06	KRE29, MMS21, NSE1, NSE3, NSE4, NSE5, SMC5, SMC6
GO:0033554	BP	e	cellular response to stress	8/8	795/6920	2.94104680381882e-08	3	8	2.697528128462622e-05	KRE29, MMS21, NSE1, NSE3, NSE4, NSE5, SMC5, SMC6
GO:0006950	BP	e	response to stress	8/8	850/6920	5.03398726149431e-08	2	8	3.847644263535484e-05	KRE29, MMS21, NSE1, NSE3, NSE4, NSE5, SMC5, SMC6
GO:0051716	BP	e	cellular response to stimulus	8/8	887/6920	7.088427261157232e-08	2	8	4.6439324885238667e-05	KRE29, MMS21, NSE1, NSE3, NSE4, NSE5, SMC5, SMC6
GO:0050896	BP	e	response to stimulus	8/8	1020/6920	2.176503539177318e-07	1	8	0.00012476806538333976	KRE29, MMS21, NSE1, NSE3, NSE4, NSE5, SMC5, SMC6
GO:0000724	BP	e	double-strand break repair via homologous recombination	4/8	77/6920	9.592271426149184e-07	9	4	0.0004887795195591129	MMS21, NSE1, SMC5, SMC6
GO:0071139	BP	e	resolution of DNA recombination intermediates	2/8	2/6920	1.1696033457339136e-06	7	2	0.0005363800943535728	SMC5, SMC6
GO:0000725	BP	e	recombinational repair	4/8	91/6920	1.8821059041690976e-06	8	4	0.000784667061501771	MMS21, NSE1, SMC5, SMC6
GO:0090304	BP	e	nucleic acid metabolic process	8/8	1452/6920	3.7004350849863097e-06	5	8	0.0014141829416456013	KRE29, MMS21, NSE1, NSE3, NSE4, NSE5, SMC5, SMC6
GO:0006302	BP	e	double-strand break repair	4/8	137/6920	9.679133546405217e-06	8	4	0.003414500495678025	MMS21, NSE1, SMC5, SMC6
GO:1990683	BP	e	DNA double-strand break attachment to nuclear envelope	2/8	5/6920	1.1675756452104204e-05	5	2	0.003766636231884206	MMS21, SMC6
GO:0006139	BP	e	nucleobase-containing compound metabolic process	8/8	1687/6920	1.2320005119551481e-05	4	8	0.003766636231884206	KRE29, MMS21, NSE1, NSE3, NSE4, NSE5, SMC5, SMC6
GO:0097240	BP	e	chromosome attachment to the nuclear envelope	2/8	6/6920	1.750350716774356e-05	4	2	0.005016942741954498	MMS21, SMC6
GO:0051304	BP	e	chromosome separation	2/8	7/6920	2.449073920887229e-05	3	2	0.006606737059522842	SMC5, SMC6
