# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0006086	BP	e	pyruvate decarboxylation to acetyl-CoA	4/5	4/6920	5.237613986221396e-14	10	4	2.401969774081132e-10	LAT1, PDA1, PDB1, PDX1
GO:0006085	BP	e	acetyl-CoA biosynthetic process	4/5	6/6920	7.854603415195754e-13	9	4	1.8010605631043863e-09	LAT1, PDA1, PDB1, PDX1
GO:0006090	BP	e	pyruvate metabolic process	5/5	34/6920	2.1072838596732513e-12	8	5	3.221334593487177e-09	LAT1, LPD1, PDA1, PDB1, PDX1
GO:0071616	BP	e	acyl-CoA biosynthetic process	4/5	8/6920	3.66463339716106e-12	8	4	3.3612017518761243e-09	LAT1, PDA1, PDB1, PDX1
GO:0035384	BP	e	thioester biosynthetic process	4/5	8/6920	3.66463339716106e-12	5	4	3.3612017518761243e-09	LAT1, PDA1, PDB1, PDX1
GO:0006084	BP	e	acetyl-CoA metabolic process	4/5	13/6920	3.740995325075846e-11	8	4	2.8593674267996384e-08	LAT1, PDA1, PDB1, PDX1
GO:0035383	BP	e	thioester metabolic process	4/5	23/6920	4.627713982195091e-10	4	4	2.652837040293336e-07	LAT1, PDA1, PDB1, PDX1
GO:0006637	BP	e	acyl-CoA metabolic process	4/5	23/6920	4.627713982195091e-10	7	4	2.652837040293336e-07	LAT1, PDA1, PDB1, PDX1
GO:0032787	BP	e	monocarboxylic acid metabolic process	5/5	158/6920	5.829496068012224e-09	7	5	2.9704521075448957e-06	LAT1, LPD1, PDA1, PDB1, PDX1
GO:0043604	BP	e	amide biosynthetic process	4/5	59/6920	2.3686085903492033e-08	4	4	1.0862438995341447e-05	LAT1, PDA1, PDB1, PDX1
GO:0044272	BP	e	sulfur compound biosynthetic process	4/5	85/6920	1.050567746689668e-07	4	4	4.3799124421080154e-05	LAT1, PDA1, PDB1, PDX1
GO:0072522	BP	e	purine-containing compound biosynthetic process	4/5	92/6920	1.4485734334035392e-07	4	4	5.535964804657192e-05	LAT1, PDA1, PDB1, PDX1
GO:0019752	BP	e	carboxylic acid metabolic process	5/5	340/6920	2.7839520495318716e-07	6	5	9.820926230117818e-05	LAT1, LPD1, PDA1, PDB1, PDX1
GO:0043603	BP	e	amide metabolic process	4/5	116/6920	3.7016735721380444e-07	3	4	0.00010937223152967253	LAT1, PDA1, PDB1, PDX1
GO:0043436	BP	e	oxoacid metabolic process	5/5	360/6920	3.7110383898970536e-07	5	5	0.00010937223152967253	LAT1, LPD1, PDA1, PDB1, PDX1
GO:0006082	BP	e	organic acid metabolic process	5/5	362/6920	3.8158650337434815e-07	4	5	0.00010937223152967253	LAT1, LPD1, PDA1, PDB1, PDX1
GO:0006790	BP	e	sulfur compound metabolic process	4/5	131/6920	6.046571767814555e-07	3	4	0.00015405321181776417	LAT1, PDA1, PDB1, PDX1
GO:1901293	BP	e	nucleoside phosphate biosynthetic process	4/5	131/6920	6.046571767814555e-07	7	4	0.00015405321181776417	LAT1, PDA1, PDB1, PDX1
GO:0072521	BP	e	purine-containing compound metabolic process	4/5	172/6920	1.8082547506828797e-06	3	4	0.0004364555940332466	LAT1, PDA1, PDB1, PDX1
GO:0006753	BP	e	nucleoside phosphate metabolic process	4/5	228/6920	5.5946455525993764e-06	6	4	0.001282852225211037	LAT1, PDA1, PDB1, PDX1
GO:0055086	BP	e	nucleobase-containing small molecule metabolic process	4/5	242/6920	7.099697532822453e-06	5	4	0.0015504387088344652	LAT1, PDA1, PDB1, PDX1
GO:0090407	BP	e	organophosphate biosynthetic process	4/5	266/6920	1.0357236672539805e-05	5	4	0.0021590130627394334	LAT1, PDA1, PDB1, PDX1
GO:0044281	BP	e	small molecule metabolic process	5/5	706/6920	1.0913301946391901e-05	3	5	0.0021760175098327504	LAT1, LPD1, PDA1, PDB1, PDX1
GO:0019637	BP	e	organophosphate metabolic process	4/5	414/6920	6.018805130547536e-05	4	4	0.011500933470287916	LAT1, PDA1, PDB1, PDX1
GO:0006796	BP	e	phosphate-containing compound metabolic process	4/5	462/6920	9.293845678263103e-05	4	4	0.01704863051220584	LAT1, PDA1, PDB1, PDX1
GO:0034654	BP	e	nucleobase-containing compound biosynthetic process	4/5	476/6920	0.0001045872615847238	5	4	0.017912375116936545	LAT1, PDA1, PDB1, PDX1
GO:0006793	BP	e	phosphorus metabolic process	4/5	477/6920	0.00010545881555980958	3	4	0.017912375116936545	LAT1, PDA1, PDB1, PDX1
