# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0034458	MF	e	3'-5' RNA helicase activity	3/3	4/6920	7.245715188538681e-11	7	3	1.8744665192749568e-07	AIR2, MTR4, PAP2
GO:0003724	MF	e	RNA helicase activity	3/3	46/6920	2.7497489140504283e-07	6	3	0.000287793092926015	AIR2, MTR4, PAP2
GO:0008186	MF	e	ATP-dependent activity, acting on RNA	3/3	49/6920	3.3373764158409157e-07	2	3	0.000287793092926015	AIR2, MTR4, PAP2
GO:1990817	MF	e	poly(A) RNA polymerase activity	2/3	6/6920	1.8789950912677927e-06	6	2	0.001215240075277445	AIR2, PAP2
GO:0004386	MF	e	helicase activity	3/3	111/6920	4.0180207863642675e-06	5	3	0.002078923954864872	AIR2, MTR4, PAP2
GO:0120545	MF	e	nucleic acid conformation isomerase activity	3/3	120/6920	5.087216633873006e-06	4	3	0.0021934382386382444	AIR2, MTR4, PAP2
GO:0120543	MF	e	macromolecular conformation isomerase activity	3/3	144/6920	8.827889557107986e-06	3	3	0.0032625357548911943	AIR2, MTR4, PAP2
GO:0070566	MF	e	adenylyltransferase activity	2/3	19/6920	2.1393698665679306e-05	5	2	0.006918187306014046	AIR2, PAP2
GO:0016853	MF	e	isomerase activity	3/3	214/6920	2.917422009228403e-05	2	3	0.008385967486526532	AIR2, MTR4, PAP2
GO:0140657	MF	e	ATP-dependent activity	3/3	294/6920	7.593951506215037e-05	1	3	0.0196455525465783	AIR2, MTR4, PAP2
GO:0140098	MF	e	catalytic activity, acting on RNA	3/3	351/6920	0.00012944062612844993	3	3	0.030442081799481817	AIR2, MTR4, PAP2
