# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0000974	CC	e	Prp19 complex	10/10	14/6920	1.4519833234446266e-29	2	10	1.372124240655172e-26	CEF1, CLF1, CWC2, ISY1, NTC20, PRP19, PRP46, SNT309, SYF1, SYF2
GO:0071006	CC	e	U2-type catalytic step 1 spliceosome	9/10	13/6920	7.163878291686722e-26	5	9	2.2566216618813175e-23	CEF1, CLF1, CWC2, ISY1, NTC20, PRP19, SNT309, SYF1, SYF2
GO:0071012	CC	e	catalytic step 1 spliceosome	9/10	13/6920	7.163878291686722e-26	4	9	2.2566216618813175e-23	CEF1, CLF1, CWC2, ISY1, NTC20, PRP19, SNT309, SYF1, SYF2
GO:0005681	CC	e	spliceosomal complex	10/10	99/6920	2.2598254334640386e-19	3	10	5.338837586558791e-17	CEF1, CLF1, CWC2, ISY1, NTC20, PRP19, PRP46, SNT309, SYF1, SYF2
GO:0005684	CC	e	U2-type spliceosomal complex	9/10	61/6920	1.7266755490250385e-18	4	9	3.263416787657323e-16	CEF1, CLF1, CWC2, ISY1, NTC20, PRP19, SNT309, SYF1, SYF2
GO:0071007	CC	e	U2-type catalytic step 2 spliceosome	5/10	11/6920	8.785166754321741e-13	5	5	1.383663763805674e-10	CLF1, CWC2, ISY1, SYF1, SYF2
GO:0071013	CC	e	catalytic step 2 spliceosome	6/10	33/6920	1.5080031680805028e-12	4	6	2.0358042769086787e-10	CLF1, CWC2, ISY1, PRP46, SYF1, SYF2
GO:1990904	CC	e	ribonucleoprotein complex	10/10	622/6920	3.2217152594726786e-11	2	10	3.8056511502521014e-09	CEF1, CLF1, CWC2, ISY1, NTC20, PRP19, PRP46, SNT309, SYF1, SYF2
GO:0140513	CC	e	nuclear protein-containing complex	10/10	707/6920	1.1700151963970345e-10	2	10	1.2285159562168862e-08	CEF1, CLF1, CWC2, ISY1, NTC20, PRP19, PRP46, SNT309, SYF1, SYF2
GO:0071014	CC	e	post-mRNA release spliceosomal complex	4/10	9/6920	2.7621383577587535e-10	4	4	2.6102207480820222e-08	CLF1, ISY1, SYF1, SYF2
GO:1902494	CC	e	catalytic complex	10/10	851/6920	7.551081216148755e-10	2	10	6.487065226600523e-08	CEF1, CLF1, CWC2, ISY1, NTC20, PRP19, PRP46, SNT309, SYF1, SYF2
GO:0071008	CC	e	U2-type post-mRNA release spliceosomal complex	3/10	5/6920	2.17041600481569e-08	5	3	1.7092026037923558e-06	CLF1, SYF1, SYF2
GO:0032991	CC	e	protein-containing complex	10/10	2176/6920	9.318779933238943e-06	1	10	0.0006026033459101348	CEF1, CLF1, CWC2, ISY1, NTC20, PRP19, PRP46, SNT309, SYF1, SYF2
GO:0071010	CC	e	prespliceosome	3/10	31/6920	9.565132474764044e-06	4	3	0.0006026033459101348	CLF1, SYF1, SYF2
GO:0071004	CC	e	U2-type prespliceosome	3/10	31/6920	9.565132474764044e-06	5	3	0.0006026033459101348	CLF1, SYF1, SYF2
GO:0005634	CC	e	nucleus	10/10	2331/6920	1.8569139415962744e-05	5	10	0.0010967397967552995	CEF1, CLF1, CWC2, ISY1, NTC20, PRP19, PRP46, SNT309, SYF1, SYF2
