# GO       	NS 	enrichment 	name                                                                                 	ratio_in_study 	ratio_in_pop 	p_uncorrected          	depth 	study_count 	p_fdr_bh               	study_items
GO:0008380 	BP 	e          	RNA splicing                                                                         	17/18          	155/6920     	6.516635495089751e-28  	    5 	         17 	2.98852903804816e-24   	LUC7, MUD1, NAM8, PRP39, PRP40, PRP42, SMB1, SMD1, SMD2, SMD3, SME1, SMX2, SMX3, SNP1, SNU56, SNU71, YHC1
GO:0000398 	BP 	e          	mRNA splicing, via spliceosome                                                       	15/18          	107/6920     	1.9689042777834654e-25 	    9 	         15 	3.4938081592818517e-22 	MUD1, NAM8, PRP40, PRP42, SMB1, SMD1, SMD2, SMD3, SME1, SMX2, SMX3, SNP1, SNU56, SNU71, YHC1
GO:0000377 	BP 	e          	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile 	15/18          	108/6920     	2.28552648884552e-25   	    7 	         15 	3.4938081592818517e-22 	MUD1, NAM8, PRP40, PRP42, SMB1, SMD1, SMD2, SMD3, SME1, SMX2, SMX3, SNP1, SNU56, SNU71, YHC1
GO:0006397 	BP 	e          	mRNA processing                                                                      	17/18          	228/6920     	6.146718983077764e-25  	    8 	         17 	7.047213314098656e-22  	LUC7, MUD1, NAM8, PRP39, PRP40, PRP42, SMB1, SMD1, SMD2, SMD3, SME1, SMX2, SMX3, SNP1, SNU56, SNU71, YHC1
GO:0000375 	BP 	e          	RNA splicing, via transesterification reactions                                      	15/18          	119/6920     	1.075425483043058e-24  	    6 	         15 	9.86380253047093e-22   	MUD1, NAM8, PRP40, PRP42, SMB1, SMD1, SMD2, SMD3, SME1, SMX2, SMX3, SNP1, SNU56, SNU71, YHC1
GO:0016071 	BP 	e          	mRNA metabolic process                                                               	17/18          	340/6920     	6.621024937369133e-22  	    7 	         17 	5.060670060462474e-19  	LUC7, MUD1, NAM8, PRP39, PRP40, PRP42, SMB1, SMD1, SMD2, SMD3, SME1, SMX2, SMX3, SNP1, SNU56, SNU71, YHC1
GO:0006396 	BP 	e          	RNA processing                                                                       	17/18          	687/6920     	1.207396761187007e-16  	    4 	         17 	7.910173638290878e-14  	LUC7, MUD1, NAM8, PRP39, PRP40, PRP42, SMB1, SMD1, SMD2, SMD3, SME1, SMX2, SMX3, SNP1, SNU56, SNU71, YHC1
GO:0016070 	BP 	e          	RNA metabolic process                                                                	17/18          	1035/6920    	1.298634056350112e-13  	    6 	         17 	7.444419728027016e-11  	LUC7, MUD1, NAM8, PRP39, PRP40, PRP42, SMB1, SMD1, SMD2, SMD3, SME1, SMX2, SMX3, SNP1, SNU56, SNU71, YHC1
GO:0090304 	BP 	e          	nucleic acid metabolic process                                                       	18/18          	1452/6920    	5.716790488362217e-13  	    5 	         18 	2.9130223532921255e-10 	LUC7, MER1, MUD1, NAM8, PRP39, PRP40, PRP42, SMB1, SMD1, SMD2, SMD3, SME1, SMX2, SMX3, SNP1, SNU56, SNU71, YHC1
GO:0006139 	BP 	e          	nucleobase-containing compound metabolic process                                     	18/18          	1687/6920    	8.634704061979427e-12  	    4 	         18 	3.959875282823765e-09  	LUC7, MER1, MUD1, NAM8, PRP39, PRP40, PRP42, SMB1, SMD1, SMD2, SMD3, SME1, SMX2, SMX3, SNP1, SNU56, SNU71, YHC1
GO:0022618 	BP 	e          	protein-RNA complex assembly                                                         	9/18           	172/6920     	1.179262060258316e-10  	    6 	          9 	4.8949091858165696e-08 	LUC7, NAM8, PRP39, PRP42, SMD1, SMD2, SMD3, SME1, YHC1
GO:0006376 	BP 	e          	mRNA splice site recognition                                                         	5/18           	14/6920      	1.2808310124247457e-10 	    7 	          5 	4.8949091858165696e-08 	LUC7, NAM8, PRP39, PRP42, YHC1
GO:0071826 	BP 	e          	protein-RNA complex organization                                                     	9/18           	182/6920     	1.9609215574166968e-10 	    5 	          9 	6.917527894086902e-08  	LUC7, NAM8, PRP39, PRP42, SMD1, SMD2, SMD3, SME1, YHC1
GO:0000387 	BP 	e          	spliceosomal snRNP assembly                                                          	5/18           	19/6920      	7.381170431710309e-10  	    7 	          5 	2.417860542844534e-07  	SMD1, SMD2, SMD3, SME1, YHC1
GO:0043170 	BP 	e          	macromolecule metabolic process                                                      	18/18          	2675/6920    	3.586198855460875e-08  	    3 	         18 	1.0964205300762381e-05 	LUC7, MER1, MUD1, NAM8, PRP39, PRP40, PRP42, SMB1, SMD1, SMD2, SMD3, SME1, SMX2, SMX3, SNP1, SNU56, SNU71, YHC1
GO:0065003 	BP 	e          	protein-containing complex assembly                                                  	9/18           	488/6920     	1.0977417303024783e-06 	    5 	          9 	0.00031464022344794784 	LUC7, NAM8, PRP39, PRP42, SMD1, SMD2, SMD3, SME1, YHC1
GO:0000395 	BP 	e          	mRNA 5'-splice site recognition                                                      	3/18           	9/6920       	1.2295582202650397e-06 	    8 	          3 	0.0003316914116550278  	PRP39, PRP42, YHC1
GO:0044238 	BP 	e          	primary metabolic process                                                            	18/18          	3320/6920    	1.7706660277007387e-06 	    3 	         18 	0.00045112635572419933 	LUC7, MER1, MUD1, NAM8, PRP39, PRP40, PRP42, SMB1, SMD1, SMD2, SMD3, SME1, SMX2, SMX3, SNP1, SNU56, SNU71, YHC1
GO:0043933 	BP 	e          	protein-containing complex organization                                              	9/18           	583/6920     	4.891201055370455e-06  	    4 	          9 	0.0011805814757857318  	LUC7, NAM8, PRP39, PRP42, SMD1, SMD2, SMD3, SME1, YHC1
GO:0048026 	BP 	e          	positive regulation of mRNA splicing, via spliceosome                                	2/18           	2/6920       	6.391046853474599e-06  	   11 	          2 	0.0014654670435017257  	MER1, NAM8
GO:0050685 	BP 	e          	positive regulation of mRNA processing                                               	2/18           	3/6920       	1.9143578042454563e-05 	   10 	          2 	0.004180592804890315   	MER1, NAM8
GO:0022607 	BP 	e          	cellular component assembly                                                          	9/18           	737/6920     	3.359658119611136e-05  	    4 	          9 	0.007003360062062122   	LUC7, NAM8, PRP39, PRP42, SMD1, SMD2, SMD3, SME1, YHC1
GO:0008152 	BP 	e          	metabolic process                                                                    	18/18          	3843/6920    	3.540175687676688e-05  	    2 	         18 	0.007012567655689196   	LUC7, MER1, MUD1, NAM8, PRP39, PRP40, PRP42, SMB1, SMD1, SMD2, SMD3, SME1, SMX2, SMX3, SNP1, SNU56, SNU71, YHC1
