# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0003968	MF	e	RNA-directed RNA polymerase activity	12/13	12/6920	5.213766704940148e-37	7	12	1.3488014465680165e-33	RPB10, RPB11, RPB2, RPB3, RPB4, RPB5, RPB7, RPB8, RPB9, RPC10, RPO21, RPO26
GO:0034062	MF	e	5'-3' RNA polymerase activity	12/13	39/6920	2.03164213075405e-27	6	12	2.502453970800513e-24	RPB10, RPB11, RPB2, RPB3, RPB4, RPB5, RPB7, RPB8, RPB9, RPC10, RPO21, RPO26
GO:0097747	MF	e	RNA polymerase activity	12/13	40/6920	2.901956672748952e-27	5	12	2.502453970800513e-24	RPB10, RPB11, RPB2, RPB3, RPB4, RPB5, RPB7, RPB8, RPB9, RPC10, RPO21, RPO26
GO:0003899	MF	e	DNA-directed RNA polymerase activity	10/13	37/6920	1.4297096880992852e-21	7	10	9.246647407782128e-19	RPB10, RPB11, RPB2, RPB3, RPB5, RPB8, RPB9, RPC10, RPO21, RPO26
GO:0016779	MF	e	nucleotidyltransferase activity	12/13	143/6920	4.8655742473944286e-20	4	12	2.5174481156018774e-17	RPB10, RPB11, RPB2, RPB3, RPB4, RPB5, RPB7, RPB8, RPB9, RPC10, RPO21, RPO26
GO:0140098	MF	e	catalytic activity, acting on RNA	12/13	351/6920	3.0046828063717917e-15	3	12	1.295519070013971e-12	RPB10, RPB11, RPB2, RPB3, RPB4, RPB5, RPB7, RPB8, RPB9, RPC10, RPO21, RPO26
GO:0016772	MF	e	transferase activity, transferring phosphorus-containing groups	12/13	421/6920	2.723194354419121e-14	3	12	1.0064148278403237e-11	RPB10, RPB11, RPB2, RPB3, RPB4, RPB5, RPB7, RPB8, RPB9, RPC10, RPO21, RPO26
GO:0140640	MF	e	catalytic activity, acting on a nucleic acid	12/13	545/6920	6.144935871650692e-13	2	12	1.9871186374950427e-10	RPB10, RPB11, RPB2, RPB3, RPB4, RPB5, RPB7, RPB8, RPB9, RPC10, RPO21, RPO26
GO:0003677	MF	e	DNA binding	11/13	676/6920	4.656599627734052e-10	3	11	1.3385136929942214e-07	RPB10, RPB11, RPB2, RPB3, RPB4, RPB5, RPB7, RPB8, RPC10, RPO21, RPO26
GO:0016740	MF	e	transferase activity	12/13	1029/6920	1.2428112947710195e-09	2	12	3.2151528195726276e-07	RPB10, RPB11, RPB2, RPB3, RPB4, RPB5, RPB7, RPB8, RPB9, RPC10, RPO21, RPO26
GO:0003676	MF	e	nucleic acid binding	12/13	1751/6920	6.683332605851021e-07	2	12	0.0001571798313757872	RPB10, RPB11, RPB2, RPB3, RPB4, RPB5, RPB7, RPB8, RPB9, RPC10, RPO21, RPO26
GO:0003824	MF	e	catalytic activity	12/13	2580/6920	6.061675585031864e-05	1	12	0.013067962282064527	RPB10, RPB11, RPB2, RPB3, RPB4, RPB5, RPB7, RPB8, RPB9, RPC10, RPO21, RPO26
