# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:1905037	BP	e	autophagosome organization	3/3	26/6920	4.7097148725501417e-08	6	3	0.00021598752405514949	ATG12, ATG16, ATG5
GO:0034727	BP	e	piecemeal microautophagy of the nucleus	3/3	42/6920	2.0795202591106005e-07	7	3	0.0003061041648609288	ATG12, ATG16, ATG5
GO:0000422	BP	e	autophagy of mitochondrion	3/3	48/6920	3.1330472475241255e-07	5	3	0.0003061041648609288	ATG12, ATG16, ATG5
GO:0044804	BP	e	nucleophagy	3/3	49/6920	3.3373764158409157e-07	6	3	0.0003061041648609288	ATG12, ATG16, ATG5
GO:0032258	BP	e	cytoplasm to vacuole targeting by the Cvt pathway	3/3	49/6920	3.3373764158409157e-07	9	3	0.0003061041648609288	ATG12, ATG16, ATG5
GO:0016237	BP	e	microautophagy	3/3	57/6920	5.300240660416044e-07	5	3	0.0004051150611444663	ATG12, ATG16, ATG5
GO:0006501	BP	e	C-terminal protein lipidation	2/3	5/6920	1.2527841560983376e-06	8	2	0.000820752591409568	ATG12, ATG16
GO:0007033	BP	e	vacuole organization	3/3	84/6920	1.7260018150617989e-06	5	3	0.0009894305404841762	ATG12, ATG16, ATG5
GO:0018410	BP	e	C-terminal protein amino acid modification	2/3	7/6920	2.6303395277433116e-06	7	2	0.0013403041193589809	ATG12, ATG16
GO:0006623	BP	e	protein targeting to vacuole	3/3	102/6920	3.110223244680228e-06	8	3	0.0014263483800103526	ATG12, ATG16, ATG5
GO:0072666	BP	e	establishment of protein localization to vacuole	3/3	123/6920	5.481763940176909e-06	7	3	0.002285397220877391	ATG12, ATG16, ATG5
GO:0072665	BP	e	protein localization to vacuole	3/3	134/6920	7.1023224849575e-06	6	3	0.0027142709096679247	ATG12, ATG16, ATG5
GO:0016236	BP	e	macroautophagy	3/3	148/6920	9.589631594879057e-06	5	3	0.0033829269610857965	ATG12, ATG16, ATG5
GO:0006605	BP	e	protein targeting	3/3	161/6920	1.2365537540760108e-05	6	3	0.004050596797280418	ATG12, ATG16, ATG5
GO:0007034	BP	e	vacuolar transport	3/3	174/6920	1.563125383338638e-05	5	3	0.004778995338660662	ATG12, ATG16, ATG5
GO:0006497	BP	e	protein lipidation	2/3	19/6920	2.1393698665679306e-05	6	2	0.006131968880050331	ATG12, ATG16
GO:0006914	BP	e	autophagy	3/3	198/6920	2.3081153275938082e-05	4	3	0.006226480524908944	ATG12, ATG16, ATG5
GO:0061919	BP	e	process utilizing autophagic mechanism	3/3	207/6920	2.6391340145533998e-05	2	3	0.006723926994856607	ATG12, ATG16, ATG5
GO:0000045	BP	e	autophagosome assembly	2/3	25/6920	3.751106753106474e-05	7	2	0.00905398714197173	ATG12, ATG5
GO:0072594	BP	e	establishment of protein localization to organelle	3/3	321/6920	9.892719861215629e-05	6	3	0.022684006641767437	ATG12, ATG16, ATG5
GO:0006886	BP	e	intracellular protein transport	3/3	349/6920	0.00012723428773925196	7	3	0.027785544932009975	ATG12, ATG16, ATG5
GO:0033365	BP	e	protein localization to organelle	3/3	399/6920	0.00019033405131584034	5	3	0.039675998151565625	ATG12, ATG16, ATG5
