# GO	NS	enrichment	name	ratio_in_study	ratio_in_pop	p_uncorrected	depth	study_count	p_fdr_bh	study_items
GO:0000307	CC	e	cyclin-dependent protein kinase holoenzyme complex	9/9	40/6920	2.7411241782683836e-21	7	9	2.5903623484636222e-18	CDC28, CLB1, CLB2, CLB3, CLB4, CLB5, CLN1, CLN2, CLN3
GO:1902554	CC	e	serine/threonine protein kinase complex	9/9	56/6920	7.594629613402908e-20	6	9	3.588462492332874e-17	CDC28, CLB1, CLB2, CLB3, CLB4, CLB5, CLN1, CLN2, CLN3
GO:1902911	CC	e	protein kinase complex	9/9	64/6920	2.760842279981801e-19	5	9	8.696653181942674e-17	CDC28, CLB1, CLB2, CLB3, CLB4, CLB5, CLN1, CLN2, CLN3
GO:0061695	CC	e	transferase complex, transferring phosphorus-containing groups	9/9	135/6920	3.133196255724444e-16	4	9	7.402176154148999e-14	CDC28, CLB1, CLB2, CLB3, CLB4, CLB5, CLN1, CLN2, CLN3
GO:1990234	CC	e	transferase complex	9/9	410/6920	8.278671864810464e-12	3	9	1.5646689824491777e-09	CDC28, CLB1, CLB2, CLB3, CLB4, CLB5, CLN1, CLN2, CLN3
GO:1902494	CC	e	catalytic complex	9/9	851/6920	6.197805497007607e-09	2	9	9.76154365778698e-07	CDC28, CLB1, CLB2, CLB3, CLB4, CLB5, CLN1, CLN2, CLN3
GO:0005815	CC	e	microtubule organizing center	5/9	75/6920	1.592064115266362e-08	2	5	2.1492865556095884e-06	CLB1, CLB2, CLB3, CLB4, CLB5
GO:0032991	CC	e	protein-containing complex	9/9	2176/6920	2.9719468444215213e-05	1	9	0.0035106122099729216	CDC28, CLB1, CLB2, CLB3, CLB4, CLB5, CLN1, CLN2, CLN3
GO:0005634	CC	e	nucleus	9/9	2331/6920	5.526758075095545e-05	5	9	0.005803095978850321	CDC28, CLB1, CLB2, CLB3, CLB4, CLB5, CLN1, CLN2, CLN3
GO:0005737	CC	e	cytoplasm	9/9	2615/6920	0.0001557992440975324	2	9	0.014723028567216813	CDC28, CLB1, CLB2, CLB3, CLB4, CLB5, CLN1, CLN2, CLN3
